team,avg_first_name,avg_middle_name,avg_last_name,avg_name,mode_first_name,mode_middle_name,mode_last_name,mode_name
Liverpool FC,Joe,,Anderson,Joe Anderson,John,,Jones,John Jones
Manchester City FC,Joe,,Barnes,Joe Barnes,David,,Smith,David Smith
Leicester City FC,Jamie,,Alderson,Jamie Alderson,John,,Smith,John Smith
Crystal Palace FC,John,,Jones,John Jones,John,,Smith,John Smith
Arsenal FC,Norman,,Jones,Norman Jones,John,,Jones,John Jones
