team,avg_first_name,avg_middle_name,avg_last_name,avg_name
Malm%C3%B6 FF,Johan,,Larsson,Johan Larsson
BK H%C3%A4cken,Jonas,,Larsson,Jonas Larsson
Hammarby Fotboll,Mairon,,Persson,Mairon Persson
IFK G%C3%B6teborg,Soren,,Svensson,Soren Svensson
IFK Norrk%C3%B6ping,Caio,,Eriksson,Caio Eriksson
%C3%96rebro SK,Johan,,Bertilsson,Johan Bertilsson
IF Elfsborg,Johan,,Andersson,Johan Andersson
Helsingborgs IF,Martin,,Persson,Martin Persson
%C3%96stersunds FK,Johan,,Bertilsson,Johan Bertilsson
IK Sirius Fotboll,Johan,,Nilsson,Johan Nilsson
Kalmar FF,Johan,,Bertilsson,Johan Bertilsson
Falkenbergs FF,Daniel,,Karlsson,Daniel Karlsson
AFC Eskilstuna,Daniel,,Eriksson,Daniel Eriksson
GIF Sundsvall,Tomas,,Enarsson,Tomas Enarsson
Molde FK,Jan,,Larsen,Jan Larsen
Odds BK,Jan,,Jensen,Jan Jensen
Rosenborg BK,Rune,,Hansen,Rune Hansen
SK Brann,Frode,,Jensen,Frode Jensen
Kristiansund BK,Simon,,Markeng,Simon Markeng
V%C3%A5lerenga Fotball,Rino,,Karlsen,Rino Karlsen
Viking FK,Rune,,Andersen,Rune Andersen
FK Haugesund,Steinar,,Andreassen,Steinar Andreassen
Lillestr%C3%B8m SK,Alf,,Erlandsen,Alf Erlandsen
Troms%C3%B8 IL,Kim,,Andersen,Kim Andersen
Stab%C3%A6k Fotball,Torstein,,Olsen,Torstein Olsen
Mj%C3%B8ndalen IF,Vegard,,Johansen,Vegard Johansen
Ranheim Fotball,Andreas,,Hansen,Andreas Hansen
Str%C3%B8msgodset Toppfotball,Martin,,Hansen,Martin Hansen
Sarpsborg 08 FF,Jorgen,,Larsen,Jorgen Larsen
Club Deportivo Universidad Cat%C3%B3lica footballers,Jorge,,Pinares,Jorge Pinares
Colo-Colo,Mario,,Caceres,Mario Caceres
Audax Italiano,Sebastian,,Caceres,Sebastian Caceres
Uni%C3%B3n La Calera,Mario,,Berrios,Mario Berrios
Coquimbo Unido,Juan,,Aravena,Juan Aravena
O%27Higgins FC footballers,Jorge,,Gonzalez,Jorge Gonzalez
Club Deportivo Palestino,Ruben,,Meza,Ruben Meza
Huachipato footballers,Juan,,Morales,Juan Morales
Curic%C3%B3 Unido footballers,Mario,,Llanos,Mario Llanos
Uni%C3%B3n Espa%C3%B1ola footballers,Cesar,,Larenas,Cesar Larenas
Cobresal footballers,Jose,,Ferrando,Jose Ferrando
Deportes Iquique,Mario,,Baesso,Mario Baesso
Everton de Vi%C3%B1a del Mar,Juan,,Martinez,Juan Martinez
Universidad de Chile footballers,Mayer,,Mas,Mayer Mas
CD Antofagasta,Juan,,Morales,Juan Morales
Universidad de Concepci%C3%B3n footballers,Juan,,Aravena,Juan Aravena
FC Tokyo,Tatsuki,,Shinada,Tatsuki Shinada
Kashima Antlers,Takeshi,,Kanazaki,Takeshi Kanazaki
Yokohama F Marinos,Kaina,,Sato,Kaina Sato
Kawasaki Frontale,Satoshi,,Uemura,Satoshi Uemura
Sanfrecce Hiroshima,Yasuyuki,,Ishihara,Yasuyuki Ishihara
