team,player
FC Olimpik Donetsk,Aliyu Abubakar
FC Olimpik Donetsk,Serhiy Aleksanov
FC Olimpik Donetsk,Viktor Arefyev
FC Olimpik Donetsk,Vitaliy Balashov
FC Olimpik Donetsk,Artem Baranovskyi
FC Olimpik Donetsk,Dmytro Bashlay
FC Olimpik Donetsk,Stanislav Bilenkyi
FC Olimpik Donetsk,Dmytro Bilonoh
FC Olimpik Donetsk,Andriy Bohdanov
FC Olimpik Donetsk,Serhiy Borzenko
FC Olimpik Donetsk,Ivan Brikner
FC Olimpik Donetsk,Yuriy Brovchenko
FC Olimpik Donetsk,Oleksiy Cheremysin
FC Olimpik Donetsk,Oleksandr Churilov
FC Olimpik Donetsk,Sékou Condé
FC Olimpik Donetsk,Maksym Dehtyarov
FC Olimpik Donetsk,Yehor Demchenko
FC Olimpik Donetsk,Matar Dieye
FC Olimpik Donetsk,Serhiy Dmytriyev
FC Olimpik Donetsk,Maxime Do Couto Teixeira
FC Olimpik Donetsk,Volodymyr Doronin
FC Olimpik Donetsk,Roman Dorosh
FC Olimpik Donetsk,Kyrylo Doroshenko
FC Olimpik Donetsk,Maksym Drachenko
FC Olimpik Donetsk,Ihor Dudnyk
FC Olimpik Donetsk,Oleksiy Dytyatev
FC Olimpik Donetsk,Vitaliy Fedoriv
FC Olimpik Donetsk,Oleksiy Gai
FC Olimpik Donetsk,Guttiner Heider Fernando Costa Tenorio
FC Olimpik Donetsk,Denys Halenkov
FC Olimpik Donetsk,Betim Halimi
FC Olimpik Donetsk,Vladyslav Helzin
FC Olimpik Donetsk,Vitaliy Hemeha
FC Olimpik Donetsk,Illya Hlushytskyi
FC Olimpik Donetsk,Oleksandr Holikov
FC Olimpik Donetsk,Vitaliy Hoshkoderya
FC Olimpik Donetsk,Serhiy Hrybanov
FC Olimpik Donetsk,Serhiy Hryn
FC Olimpik Donetsk,Dmytro Hryshko
FC Olimpik Donetsk,Vladis-Emmerson Illoy-Ayyet
FC Olimpik Donetsk,Demir Imeri
FC Olimpik Donetsk,Sheriff Isa
FC Olimpik Donetsk,Pavlo Ivanov
FC Olimpik Donetsk,Gegham Kadymyan
FC Olimpik Donetsk,Yuriy Karmelyuk
FC Olimpik Donetsk,Artur Kaskov
FC Olimpik Donetsk,Dmytro Khomchenovskyi
FC Olimpik Donetsk,Vladyslav Khomutov
FC Olimpik Donetsk,Ruslan Kisil
FC Olimpik Donetsk,Yehor Klymenchuk
FC Olimpik Donetsk,Vitaliy Koltsov
FC Olimpik Donetsk,Illya Kornyev
FC Olimpik Donetsk,Yaroslav Kotlyarov
FC Olimpik Donetsk,Artem Kozlov
FC Olimpik Donetsk,Anton Kravchenko
FC Olimpik Donetsk,Andriy Kravchuk
FC Olimpik Donetsk,Volodymyr Krynskyi
FC Olimpik Donetsk,Pavlo Ksyonz
FC Olimpik Donetsk,Serhiy Kulynych
FC Olimpik Donetsk,Vitaliy Kvashuk
FC Olimpik Donetsk,Artem Kychak
FC Olimpik Donetsk,Valeriy Lebed
FC Olimpik Donetsk,Leônidas Soares Damasceno
FC Olimpik Donetsk,Ihor Levchenko
FC Olimpik Donetsk,Ruslan Levyha
FC Olimpik Donetsk,Serhiy Litovchenko
FC Olimpik Donetsk,Vyacheslav Lukhtanov
FC Olimpik Donetsk,Pavlo Lukyanchuk
FC Olimpik Donetsk,Volodymyr Lysenko
FC Olimpik Donetsk,Ihor Lytovka
FC Olimpik Donetsk,Zauri Makharadze
FC Olimpik Donetsk,Kostyantyn Makhnovskyi
FC Olimpik Donetsk,Oleksandr Maksymov
FC Olimpik Donetsk,Dmytro Matviyenko
FC Olimpik Donetsk,Ivan Matyazh
FC Olimpik Donetsk,Serhiy Melinyshyn
FC Olimpik Donetsk,Oleksandr Mihunov
FC Olimpik Donetsk,Ilya Mikhalyov
FC Olimpik Donetsk,Andriy Mischenko
FC Olimpik Donetsk,Moha Rharsalla
FC Olimpik Donetsk,Yevhen Morozenko
FC Olimpik Donetsk,Roman Mysak
FC Olimpik Donetsk,Artem Nedolya
FC Olimpik Donetsk,Kelvin Ebuka Nwamora
FC Olimpik Donetsk,Dmytro Nyemchaninov
FC Olimpik Donetsk,Zurab Ochihava
FC Olimpik Donetsk,Yevhen Odyntsov
FC Olimpik Donetsk,Vladyslav Ohirya
FC Olimpik Donetsk,Oleksandr Oliynyk
FC Olimpik Donetsk,Yaroslav Oliynyk
FC Olimpik Donetsk,Dmytro Anatoliyovych Osadchyi
FC Olimpik Donetsk,Temur Partsvania
FC Olimpik Donetsk,Hennadiy Pasich
FC Olimpik Donetsk,Yevhen Pasich
FC Olimpik Donetsk,Herman Penkov
FC Olimpik Donetsk,Kyrylo Petrov
FC Olimpik Donetsk,Serhiy Politylo
FC Olimpik Donetsk,Vitaliy Polyanskyi
FC Olimpik Donetsk,Anton Postupalenko
FC Olimpik Donetsk,Volodymyr Pryyomov
FC Olimpik Donetsk,Dramane Salou
FC Olimpik Donetsk,Roman Sanzhar
FC Olimpik Donetsk,Artem Savin
FC Olimpik Donetsk,Vadym Schastlyvtsev
FC Olimpik Donetsk,Artem Schedryi
FC Olimpik Donetsk,Ihor Semenyna
FC Olimpik Donetsk,Mykhaylo Serhiychuk
FC Olimpik Donetsk,Artem Shabanov
FC Olimpik Donetsk,Vladyslav Sharay
FC Olimpik Donetsk,Vadym Shavrin
FC Olimpik Donetsk,Serhiy Shestakov
FC Olimpik Donetsk,Oleksiy Shevchenko
FC Olimpik Donetsk,Anton Shynder
FC Olimpik Donetsk,Ihor Snurnitsyn
FC Olimpik Donetsk,Ivan Sondey
FC Olimpik Donetsk,Ruslan Stepanyuk
FC Olimpik Donetsk,Oleksandr Sytnik
FC Olimpik Donetsk,Volodymyr Tanchyk
FC Olimpik Donetsk,Yevhen Troyanovskyi
FC Olimpik Donetsk,Ivan Trubochkin
FC Olimpik Donetsk,Yevhen Tsymbalyuk
FC Olimpik Donetsk,Illya Tymoshenko
FC Olimpik Donetsk,Ihor Tyschenko
FC Olimpik Donetsk,Serhiy Vakulenko
FC Olimpik Donetsk,Rinar Valeyev
FC Olimpik Donetsk,Roman Vantukh
FC Olimpik Donetsk,Oleksandr Varvanin
FC Olimpik Donetsk,Oleksandr Volkov
FC Olimpik Donetsk,Josip Vuković
FC Olimpik Donetsk,Serhiy Yavorskyi
FC Olimpik Donetsk,Dmytro Yeremenko
FC Olimpik Donetsk,Bohdan Yesyp
FC Olimpik Donetsk,Shahab Zahedi
FC Olimpik Donetsk,Artur Zahorulko
FC Olimpik Donetsk,Dmytro Zaika
FC Olimpik Donetsk,Yuriy Zakharkiv
FC Olimpik Donetsk,Taras Zaviyskyi
FC Olimpik Donetsk,Dmytro Zhdankov
FC Olimpik Donetsk,Ihor Zhurakhovskyi
FC Olimpik Donetsk,Ivan Zotko
FC Olimpik Donetsk,Yevhen Zubeyko
San Lorenzo footballers,Roberto Aballay
San Lorenzo footballers,Sebastián Abreu
San Lorenzo footballers,Jonás Acevedo
San Lorenzo footballers,Walter Acevedo
San Lorenzo footballers,Alberto Acosta
San Lorenzo footballers,Claudio Acosta
San Lorenzo footballers,Luis Aguiar
San Lorenzo footballers,Gastón Aguirre
San Lorenzo footballers,Daniel Ahmed
San Lorenzo footballers,Carlos Aimar
San Lorenzo footballers,Damián Albil
San Lorenzo footballers,José Albornoz
San Lorenzo footballers,Rafael Albrecht
San Lorenzo footballers,Emiliano Alfaro
San Lorenzo footballers,Alfeu Martha de Freitas
San Lorenzo footballers,Héctor Almandoz
San Lorenzo footballers,Pablo Alvarado
San Lorenzo footballers,Cristian Darío Álvarez
San Lorenzo footballers,Leandro Álvarez
San Lorenzo footballers,Fernando Álvez
San Lorenzo footballers,Horacio Ameli
San Lorenzo footballers,Luis Antonio Amuchástegui
San Lorenzo footballers,Marcos Angeleri
San Lorenzo footballers,Gilberto Angelucci
San Lorenzo footballers,Ramiro Arias
San Lorenzo footballers,Javier Artero
San Lorenzo footballers,Luis Fabián Artime
San Lorenzo footballers,Rodrigo Astudillo
San Lorenzo footballers,Ezequiel Ávila
San Lorenzo footballers,Rubén Ayala
San Lorenzo footballers,Sebastián Balsas
San Lorenzo footballers,Alejandro Barbaro
San Lorenzo footballers,Rolando Barrera
San Lorenzo footballers,Pablo Barrientos
San Lorenzo footballers,Nahuel Barrios
San Lorenzo footballers,Oscar Basso
San Lorenzo footballers,Gonzalo Bazán
San Lorenzo footballers,Fernando Belluschi
San Lorenzo footballers,Brian Benítez
San Lorenzo footballers,Nelson Benítez
San Lorenzo footballers,Eduardo Bennett
San Lorenzo footballers,Gonzalo Bergessio
San Lorenzo footballers,Ángel Berni
San Lorenzo footballers,Ángel Bernuncio
San Lorenzo footballers,Rubén Bernuncio
San Lorenzo footballers,Germán Berterame
San Lorenzo footballers,Nicolás Bertocchi
San Lorenzo footballers,Beto
San Lorenzo footballers,Julio Bevacqua
San Lorenzo footballers,Claudio Biaggio
San Lorenzo footballers,Nicolás Bianchi Arce
San Lorenzo footballers,Maxi Biancucchi
San Lorenzo footballers,Carlos Bilardo
San Lorenzo footballers,Daniel Bilos
San Lorenzo footballers,Sebastián Blanco
San Lorenzo footballers,Nicolás Blandi
San Lorenzo footballers,Norberto Boggio
San Lorenzo footballers,Fabián Bordagaray
San Lorenzo footballers,Jorge Borelli
San Lorenzo footballers,Juan José Borrelli
San Lorenzo footballers,Joaquín Botero
San Lorenzo footballers,Rubén Botta
San Lorenzo footballers,Darío Bottinelli
San Lorenzo footballers,Jonathan Bottinelli
San Lorenzo footballers,Gonzalo Bozzoni
San Lorenzo footballers,Marcelino Britapaja
San Lorenzo footballers,Carlos Bueno
San Lorenzo footballers,Julio Buffarini
San Lorenzo footballers,Carlos Bustos
San Lorenzo footballers,Carlos Buttice
San Lorenzo footballers,Micaela Cabrera
San Lorenzo footballers,Daniel Cáceres Silva
San Lorenzo footballers,Juan Martín Cadelago
San Lorenzo footballers,Oscar Calics
San Lorenzo footballers,Santiago Camacho
San Lorenzo footballers,Gustavo Campagnuolo
San Lorenzo footballers,Vicente Cantatore
San Lorenzo footballers,Tomás Cardona
San Lorenzo footballers,Edilio Cardoso
San Lorenzo footballers,José Cardozo
San Lorenzo footballers,Giancarlo Carmona
San Lorenzo footballers,Lautaro Carrachino
San Lorenzo footballers,Luis Alberto Carranza
San Lorenzo footballers,Ariel Carreño
San Lorenzo footballers,Alfredo Carricaberry
San Lorenzo footballers,Matías Caruzzo
San Lorenzo footballers,Carlos Castagneto
San Lorenzo footballers,Carlos Castilla
San Lorenzo footballers,Alexis Castro
San Lorenzo footballers,Matías Catalán
San Lorenzo footballers,Martín Cauteruccio
San Lorenzo footballers,Juan Cavallaro
