team,avg_first_name,avg_middle_name,avg_last_name,avg_name
Minnesota United FC,Harrison,,Metanire,Harrison Metanire
San Jose Earthquakes,Joey,,Martinez,Joey Martinez
Real Salt Lake,Jamie,,Fernandez,Jamie Fernandez
FC Dallas,Joey,,Martinez,Joey Martinez
LA Galaxy,Joe,,Mastroeni,Joe Mastroeni
DC United,Pete,,Horton,Pete Horton
New York Red Bulls,Josue,,Martinez,Josue Martinez
Portland Timbers,Jeanderson,,,Jeanderson
New England Revolution,Jose,,Jones,Jose Jones
Toronto FC,Laurent,,Robinson,Laurent Robinson
Montreal Impact,Laurent,,Taider,Laurent Taider
Sporting Kansas City,Alex,,Fernandes,Alex Fernandes
Orlando City SC,Cameron,,Paterson,Cameron Paterson
Chicago Fire Soccer Club,Julio,,Martinez,Julio Martinez
Houston Dynamo,Charlie,,Hairston,Charlie Hairston
Columbus Crew SC,Kyle,,Mendes,Kyle Mendes
Colorado Rapids,Joe,,Morales,Joe Morales
Vancouver Whitecaps FC,Joe,,Emnes,Joe Emnes
FC Cincinnati,Aaron,,Bahner,Aaron Bahner
Clube de Regatas do Flamengo footballers,Dario,,,Dario
Santos FC,Leandrinho,,Santos,Leandrinho Santos
Sport Club Corinthians Paulista,Marcelinho,,Santos,Marcelinho Santos
S%C3%A3o Paulo FC,Maurinho,,Santos,Maurinho Santos
Sociedade Esportiva Palmeiras,Dario,,Santos,Dario Santos
Sport Club Internacional,Joanderson,,Santos,Joanderson Santos
Clube Atl%C3%A9tico Mineiro,Mariano,,Santos,Mariano Santos
Esporte Clube Bahia,Daniel,,Souza,Daniel Souza
Club Athletico Paranaense,Caio,,Santos,Caio Santos
Botafogo de Futebol e Regatas,Marcinho,,Santos,Marcinho Santos
Gr%C3%AAmio Foot-Ball Porto Alegrense,Marinho,,Santos,Marinho Santos
Fortaleza Esporte Clube,Carlinhos,,Oliveira,Carlinhos Oliveira
Goi%C3%A1s Esporte Clube,Jadilson,,de Sousa,Jadilson de Sousa
Cear%C3%A1 Sporting Club,Marinho,,Silva,Marinho Silva
CR Vasco da Gama,Carlinhos,,,Carlinhos
Cruzeiro Esporte Clube,Joanderson,,Santos,Joanderson Santos
Associa%C3%A7%C3%A3o Chapecoense de Futebol,Ronieli,,Santos,Ronieli Santos
Fluminense FC,Dario,,Freitas,Dario Freitas
Centro Sportivo Alagoano,Carlinhos,,Silva,Carlinhos Silva
Ava%C3%AD FC,Danielzinho,,Silva,Danielzinho Silva
Dundalk FC,Joe,,Marney,Joe Marney
Shamrock Rovers FC,Joe,,Delaney,Joe Delaney
Bohemian FC,Eoin,,Delany,Eoin Delany
Derry City FC,Noel,,Kearney,Noel Kearney
St Patrick%27s Athletic FC,Glen,,Marney,Glen Marney
Sligo Rovers FC,Eoin,,Kearns,Eoin Kearns
Cork City FC,Dave,,Delaney,Dave Delaney
Finn Harps FC,Maurice,,McGinley,Maurice McGinley
University College Dublin AFC,John,,Rooney,John Rooney
Djurg%C3%A5rdens IF Fotboll,Soren,,Andersson,Soren Andersson
AIK Fotboll,Kurt,,Andersson,Kurt Andersson
