team,avg_first_name,avg_middle_name,avg_last_name,avg_name
FC Lugano,Gian,,Martinovic,Gian Martinovic
FC Luzern,Dario,,Martinez,Dario Martinez
FC St Gallen,Mario,,Vernier,Mario Vernier
Neuch%C3%A2tel Xamax FCS,Alain,,Berisha,Alain Berisha
FC Z%C3%BCrich,Daniel,,Seiler,Daniel Seiler
PAOK FC,Charlie,,Kanakoudis,Charlie Kanakoudis
Xanthi FC,Manolis,,Labriakos,Manolis Labriakos
Olympiacos FC,Jorge,,Giannoulis,Jorge Giannoulis
OFI Crete FC,Mario,,Poursanidis,Mario Poursanidis
AEK Athens FC,Ilias,,Dounis,Ilias Dounis
Atromitos FC,Stergos,,Giannoulis,Stergos Giannoulis
Aris Thessaloniki FC,Nikos,,Bouzanis,Nikos Bouzanis
Panathinaikos FC,Nikos,,Georgiadis,Nikos Georgiadis
Asteras Tripoli FC,Sebastian,,Giannoulis,Sebastian Giannoulis
Panetolikos FC,Vangelis,,Marinakis,Vangelis Marinakis
Panionios FC,Nikos,,Giannoulis,Nikos Giannoulis
Lamia FC,Ilias,,Papoulis,Ilias Papoulis
FC Midtjylland,Mikael,,Hansen,Mikael Hansen
FC Copenhagen,Martin,,Nielsen,Martin Nielsen
AaB Fodbold,Martin,,Pedersen,Martin Pedersen
FC Nordsj%C3%A6lland,Martin,,Hansen,Martin Hansen
Br%C3%B8ndby IF,Soren,,Larsen,Soren Larsen
Aarhus Gymnastikforening,Bent,,Nielsen,Bent Nielsen
Odense Boldklub,Kai,,Sorensen,Kai Sorensen
S%C3%B8nderjyskE Fodbold,Martin,,Sorensen,Martin Sorensen
Lyngby Boldklub,John,,Andersen,John Andersen
AC Horsens,Mads,,Jensen,Mads Jensen
Randers FC,Morten,,Karlsen,Morten Karlsen
Hobro IK,Mads,,Sorensen,Mads Sorensen
Silkeborg IF,Jim,,Lassen,Jim Lassen
FC Shakhtar Donetsk,Valeriy,,Harashchenkov,Valeriy Harashchenkov
FC Desna Chernihiv,Oleksandr,,Halenkov,Oleksandr Halenkov
FC Zorya Luhansk,Oleksandr,,Datsenko,Oleksandr Datsenko
FC Oleksandriya,Vitaliy,,Myahkov,Vitaliy Myahkov
FC Dynamo Kyiv,Oleksandr,,Datsenko,Oleksandr Datsenko
SC Dnipro-1,Oleksandr,,Kravchenko,Oleksandr Kravchenko
FC Vorskla Poltava,Oleh,,Petkov,Oleh Petkov
FC Kolos Kovalivka,Oleksandr,,Yashkov,Oleksandr Yashkov
FC Mariupol,Oleksandr,,Harashchenkov,Oleksandr Harashchenkov
FC Lviv,Oleksandr,,Sarnavskyi,Oleksandr Sarnavskyi
FC Karpaty Lviv,Oleksandr,,Skachenko,Oleksandr Skachenko
FC Olimpik Donetsk,Serhiy,,Penkov,Serhiy Penkov
San Lorenzo footballers,Carlos,,Pernia,Carlos Pernia
Boca Juniors footballers,Baiano,,Palermo,Baiano Palermo
Talleres de C%C3%B3rdoba footballers,Jorge,,Valiente,Jorge Valiente
Club Atl%C3%A9tico Lan%C3%BAs footballers,Martin,,Martinez,Martin Martinez
Newell%27s Old Boys footballers,Dario,,Franco,Dario Franco
Arsenal de Sarand%C3%AD footballers,Juan,,Baez,Juan Baez
Rosario Central footballers,Jorge,,Figueroa,Jorge Figueroa
Argentinos Juniors footballers,Juan,,Herron,Juan Herron
