team,avg_first_name,avg_middle_name,avg_last_name,avg_name
AS Saint-%C3%89tienne,Siaka,,Moulin,Siaka Moulin
RC Strasbourg Alsace,Maurice,,Hardouin,Maurice Hardouin
Toulouse FC,Alain,,Moreira,Alain Moreira
Le Havre AC,Mathieu,,Manset,Mathieu Manset
FC Lorient,Mario,,Lemina,Mario Lemina
Valenciennes FC,Jean,,Hardouin,Jean Hardouin
FC Chambly,Romain,,Heloise,Romain Heloise
Clermont Foot,Florian,,Bernardoni,Florian Bernardoni
Chamois Niortais FC,Johan,,Bourhane,Johan Bourhane
Troyes AC,Gael,,Bernardoni,Gael Bernardoni
AC Ajaccio,Cedric,,Laurenti,Cedric Laurenti
Rodez AF,Florian,,Sane,Florian Sane
FC Sochaux-Montb%C3%A9liard,Jean,,Davies,Jean Davies
AJ Auxerre,Jean,,Dale,Jean Dale
RC Lens,Jean,,Moreira,Jean Moreira
En Avant de Guingamp,Fabrice,,Moreira,Fabrice Moreira
AS Nancy,Jordan,,Dale,Jordan Dale
Stade Malherbe Caen,Ismael,,Suares,Ismael Suares
Grenoble Foot 38,Maurice,,Moreira,Maurice Moreira
Le Mans FC,Alain,,Hardouin,Alain Hardouin
US Orl%C3%A9ans,Patrice,,Kande,Patrice Kande
LB Ch%C3%A2teauroux,Fabrice,,Bourgeois,Fabrice Bourgeois
Paris FC,Alain,,Laurier,Alain Laurier
RB Leipzig,Tim,,Albert,Tim Albert
FC Bayern Munich footballers,Mario,,Aigner,Mario Aigner
VfL Wolfsburg,Martin,,Baier,Martin Baier
Bayer 04 Leverkusen,Jermaine,,Posner,Jermaine Posner
Borussia Dortmund,Martin,,Geisler,Martin Geisler
SC Freiburg,Sebastian,,Kerk,Sebastian Kerk
Eintracht Frankfurt,Marko,,Weilbacher,Marko Weilbacher
Borussia M%C3%B6nchengladbach,Marko,,Herlovsen,Marko Herlovsen
TSG 1899 Hoffenheim,Daniel,,Wieser,Daniel Wieser
FC Schalke 04,Mario,,Klinger,Mario Klinger
1 FC Union Berlin,Mario,,Leistner,Mario Leistner
Fortuna D%C3%BCsseldorf,Martin,,Baltes,Martin Baltes
SV Werder Bremen,Mike,,Basler,Mike Basler
1 FC K%C3%B6ln,Martin,,Kostner,Martin Kostner
SC Paderborn 07,Tim,,Fischer,Tim Fischer
FC Augsburg,Marvin,,Reinthaler,Marvin Reinthaler
Hertha BSC,Mario,,Basler,Mario Basler
1 FSV Mainz 05,Aaron,,Polter,Aaron Polter
Hamburger SV,Marcell,,Baron,Marcell Baron
VfB Stuttgart,Marc,,Fischer,Marc Fischer
SV Sandhausen,Mario,,Langer,Mario Langer
VfL Osnabr%C3%BCck,Aaran,,Fernandes,Aaran Fernandes
Arminia Bielefeld,Max,,Borner,Max Borner
SpVgg Greuther F%C3%BCrth,Florian,,Sailer,Florian Sailer
FC Erzgebirge Aue,Dorian,,Heller,Dorian Heller
SSV Jahn Regensburg,Adrian,,Heister,Adrian Heister
1 FC N%C3%BCrnberg,Jan,,Kramer,Jan Kramer
