Country,Club,Mode_First_Name,Mode_Last_Name,Mode_Name
United States + Canada,Atlanta United,"George, Andrew, Chris (2)",Martínez (2),George-Andrew-Chris Martínez
United States + Canada,Seattle Sounders,Michael (3),X,Michael X
United States + Canada,Minnesota United,"Thomas, Sam, Kevin (2)",Ibarra (2),Thomas-Sam-Kevin Ibarra
United States + Canada,San Jose Earthquakes,Chris (7),X,Chris X
United States + Canada,Real Salt Lake,Chris (8),"Johnson, Martínez (3)",Chris Johnson-Martínez
United States + Canada,FC Dallas,X,Rodríguez (5),X Rodríguez
United States + Canada,LA Galaxy,"David, Brian (7)",González (4),David-Brian González
United States + Canada,DC United,Chris (8),Carroll (3),Chris Carroll
United States + Canada,New York Red Bulls,"Chris, Mike (9)","Álvarez, Hernández, Lewis (3)",Chris-Mike Álvarez-Hernández-Lewis
United States + Canada,Portland Timbers,X,Johnson (3),X Johnson
United States + Canada,New England Revolution,José (7),"Brown, Smith (3)",José Brown-Smith
United States + Canada,Toronto,Nick (5),X,Nick X
United States + Canada,Montreal Impact,Eric (3),"Choinière, González (2)",Eric Choinière-González
United States + Canada,Sporting Kansas City,"Matt, Chris, Kevin (6)",X,Matt-Chris-Kevin X
United States + Canada,Orlando City SC,X,"García, Sané (2)",X García-Sané
United States + Canada,Chicago Fire,David (9),Johnson (5),David Johnson
United States + Canada,Houston Dynamo,"Eric, Chris (4)",Brown (3),Eric-Chris Brown
United States + Canada,Columbus Crew SC,"Chris, Brian, Matt (7)",Williams (5),Chris-Brian-Matt Williams
United States + Canada,Colorado Rapids,"Chris, Matt (8)",Brown (4),Chris-Matt Brown
United States + Canada,Vancouver Whitecaps,"Michael, David (3)",Davies (2),Michael-David Davies
United States + Canada,FC Cincinnati,X,Walker (2),X Walker
Brazil,Flamengo,Rodrigo (12),da Silva (21),Rodrigo da Silva
Brazil,Santos,Paulo (12),Santos (21),Paulo Santos
Brazil,Corinthians,Fabio (10),Santos (17),Fabio Santos
Brazil,São Paulo,José (14),da Silva (17),José da Silva
Brazil,Palmeiras,José (15),da Silva (23),José da Silva
Brazil,Internacional,Marcelo (12),da Silva (24),Marcelo da Silva
Brazil,Atlético Mineiro,Paulo (12),Santos (17),Paulo Santos
Brazil,Bahia,Rafael (12),da Silva (16),Rafael da Silva
Brazil,Athletico Paranaense,Bruno (14),da Silva (29),Bruno da Silva
Brazil,Botafogo,Paulo (13),Santos (22),Paulo Santos
Brazil,Grêmio,Paulo (14),"da Silva, Santos (18)",Paulo da Silva-Santos
Brazil,Fortaleza,Marcio (7),"Santos, da Silva (11)",Marcio Santos-da Silva
Brazil,Goiás,Rafael (10),"da Silva, Silva (13)",Rafael da Silva-Silva
Brazil,Ceará,"Tiago, Rafael (7)",da Silva (22),Tiago-Rafael da Silva
Brazil,CR Vasco da Gama,Paulo (14),da Silva (19),Paulo da Silva
Brazil,Cruzeiro,"Rafael, José (10)",Santos (17),Rafael-José Santos
Brazil, Chapecoense,"João, Rafael (6)",da Silva (10),João-Rafael da Silva
Brazil,Fluminense,Carlos (10),Santos (17),Carlos Santos
Brazil,Centro Sportivo Alagoano,Leandro (3),da Silva (6),Leandro da Silva
Brazil,Avaí,Paulo (9),Santos (15),Paulo Santos
Ireland,Dundalk,John (13),Byrne (7),John Byrne
Ireland,Shamrock Rovers,John (16),Byrne (10),John Byrne
Ireland,Bohemian,John (13),Byrne (11),John Byrne
Ireland,Derry City,"John, Paul (9)",Kelly (5),John-Paul Kelly
Ireland,St Patrick's Athletic,David (10),Byrne (9),David Byrne
Ireland,Sligo Rovers,John (8),"Kelly, Morrison (3)",John Kelly-Morrison
Ireland,Cork City,"Dave, Alan (6)",X,Dave-Alan X
Ireland,Finn Harps,Mark (6),McLaughlin (3),Mark McLaughlin
Ireland,University College Dublin,Paul (5),Byrne (5),Paul Byrne
Sweden,Djurgårdens IF,Stefan (10),Andersson (13),Stefan Andersson
Sweden,AIK,Daniel (10),Andersson (7),Daniel Andersson
Sweden,Malmö FF,Anders (9),"Andersson, Nilsson (18)",Anders Andersson-Nilsson
Sweden,BK Häcken,Alexander (5),"Andersson, Hysen (3)",Alexander Andersson-Hysen
Sweden,Hammarby,Andreas (5),Andersson (5),Andreas Andersson
Sweden,IFK Göteborg,Erik (7),"Andersson, Svensson (7)",Erik Andersson-Svensson
Sweden,IFK Norrköping,Andreas (7),"Andersson, Johansson (4)",Andreas Andersson-Johansson
Sweden,Örebro SK,Daniel (6),X,Daniel X
Sweden,IF Elfsborg,"Andreas, Jesper, Viktor (4)",Nilsson (4),Andreas-Jesper-Viktor Nilsson
Sweden,Helsingborgs IF,Andreas (6),Andersson (5),Andreas Andersson
Sweden,Östersunds FK,Paul (3),Morgan (2),Paul Morgan
Sweden,IK Sirius,Johan (4),X,Johan X
Sweden,Kalmar FF,X,Johansson (4),X Johansson
Sweden,Falkenbergs FF,X,Karlsson (3),X Karlsson
Sweden,Eskilstuna,Daniel (5),Eriksson (3),Daniel Eriksson
Sweden,GIF Sundsvall,"Johan, David (4)",X,Johan-David X
Norway,Molde FK,Fredrik (7),Hestad (5),Fredrik Hestad
Norway,Odds BK,"Erik, Fredrik (4)",X,Erik-Fredrik X
Norway,Rosenborg BK,Trond (6),Hansen (8),Trond Hansen
Norway,SK Brann,Jan (5),Pedersen (5),Jan Pedersen
Norway,Kristiansund BK,"Simon, Andreas (2)",Ulvestad (2),Simon-Andreas Ulvestad
Norway,Vålerenga Fotball,X,Johansen (5),X Johansen
Norway,Viking FK,Bjorn (6),Andersen (4),Bjorn Andersen
Norway,FK Haugesund,"Eirik, Morten, Kevin (3)",X,Eirik-Morten-Kevin X
Norway,Lillestrøm SK,X,X,X X
Norway,Tromsø IL,Thomas (6),"Johansen, Nilsen, Pedersen (5)",Thomas Johansen-Nilsen-Pedersen
Norway,Stabæk Fotball,"Christian, Morten (5)",Olsen (4),Christian-Morten Olsen
Norway,Mjøndalen IF,Stian (3),Hansen (4),Stian Hansen
Norway,Ranheim Fotball,Michael (3),Hansen (3),Michael Hansen
Norway,Strømsgodset Toppfotball,Thomas (8),Olsen (5),Thomas Olsen
Norway,Sarpsborg 08 FF,X,X,X X
Chile,Universidad Católica,José (12),González (7),José González
Chile,Colo-Colo,Juan (17),González (12),Juan González
Chile,Audax Italiano,Carlos (12),X,Carlos X
Chile,Unión La Calera,"Francisco, Matias, Rodrigo (6)",X,Francisco-Matias-Rodrigo X
Chile,Coquimbo Unido,Juan (15),X,Juan X
Chile,O'Higgins,Juan (12),González (8),Juan González
Chile,Deportivo Palestino,"Juan, Luis (11)",González (8),Juan-Luis González
Chile,Huachipato,"Juan, Carlos, José (9)",Martínez (4),Juan-Carlos-José Martínez
Chile,Curicó Unido,"Jorge, Sebastian (7)","Diaz, Mu~noz (3)",Jorge-Sebastian Diaz-Mu~noz
Chile,Unión Española,Juan (14),González (6),Juan González
Chile,Cobresal,Juan (13),Diaz (4),Juan Diaz
Chile,Deportes Iquique,"Julio, Luis, Nicolas (3)",X,Julio-Luis-Nicolas X
Chile,Everton de Viña del Mar,José (13),González (7),José González
Chile,Universidad de Chile,Juan (16),Rojas (5),Juan Rojas
Chile,Antofagasta,Juan (10),Silva (3),Juan Silva
Chile,Universidad de Concepción,Juan (8),González (5),Juan González
Japan,FC Tokyo,"Tatsuya, Ryoichi, Takuya (4)",Suzuki (7),Tatsuya-Ryoichi-Takuya Suzuki
Japan,Kashima Antlers,X,"Santos, Suzuki (4)",X Santos-Suzuki
Japan,Yokohama F Marinos,"Takashi, Daisuke, Takuya (5)",Suzuki (6),Takashi-Daisuke-Takuya Suzuki
Japan,Kawasaki Frontale,Yusuke (5),Santos (5),Yusuke Santos
Japan,Sanfrecce Hiroshima,Koji (6),Sato (5),Koji Sato
Japan,Cerezo Osaka,Takashi (7),"Ito, Suzuki, Takeda (4)",Takashi Ito-Suzuki-Takeda
Japan,Hokkaido Consadole Sapporo,Ryuji (5),de Oliveira (4),Ryuji de Oliveira
Japan,Oita Trinita,Kim (7),X,Kim X
Japan,Nagoya Grampus,Yuki (6),Sato (5),Yuki Sato
Japan,Shonan Bellmare,Takuya (6),Suzuki (9),Takuya Suzuki
Japan,Urawa Red Diamonds,Takuya (7),X,Takuya X
Japan,Vissel Kobe,X,"Takahashi, Tanaka (4)",X Takahashi-Tanaka
Japan,Shimizu S-Pulse,"Kenta, Yasuhiro (4)","Ito, Matsubara, Santos (4)",Kenta-Yasuhiro Ito-Matsubara-Santos
Japan,Gamba Osaka,Hiroki (5),Yamaguchi (4),Hiroki Yamaguchi
Japan,Vegalta Sendai,Satoshi (5),Suzuki (5),Satoshi Suzuki
Japan,Sagan Tosu,Kim (9),"Kobayashi, Takahashi, Tanaka (4)",Kim Kobayashi-Takahashi-Tanaka
Japan,Matsumoto Yamaga,Yuki (6),Yoshida (4),Yuki Yoshida
Japan,Júbilo Iwata,"Hiroki, Daisuke (4)","Nakamura, Yamamoto (4)",Hiroki-Daisuke Nakamura-Yamamoto
China,Guangzhou Evergrande,Li (12),X,Li X
China,Beijing Guoan,Zhang (16),X,Zhang X
China,Shanghai SIPG,Zhang (7),X,Zhang X
China,Shandong Luneng Taishan,Wang (11),Wei (4),Wang Wei
China,Jiangsu Suning,Zhang (8),Hao (4),Zhang Hao
China,Wuhan Zall,Wang (8),Yi (3),Wang Yi
China,Dalian Yifang,Wang (9),"Lin, Peng, Ting (2)",Wang Lin-Peng-Ting
China,Chongqing Lifan,"Liu, Wang, Zhang (6)",X,Liu-Wang-Zhang X
China,Tianjin Teda,Wang (7),Yang (4),Wang Yang
China,Henan Jianye,Zhang (8),X,Zhang X
China,Guangzhou R&F,"Li, Zhang (9)",Jiaqi (3),Li-Zhang Jiaqi
China,Shanghai Shenhua,Wang (12),Lin (4),Wang Lin
China,Hebei China Fortune,Zhang (8),Yang (3),Zhang Yang
China,Tianjin Tianhai,Zhang (8),"Tao, Cheng (2)",Zhang Tao-Cheng
China,Shenzhen,Li (16),"Chao, Feng, Xin (3)",Li Chao-Feng-Xin
China,Beijing Renhe,Zhang (9),"Chen, Peng (4)",Zhang Chen-Peng
