team,player
FC Basel,Abedi
FC Basel,David Abraham
FC Basel,Kemal Ademi
FC Basel,Endoğan Adili
FC Basel,Silvan Aegerter
FC Basel,Fritz Aeppli
FC Basel,Adonis Ajeti
FC Basel,Albian Ajeti
FC Basel,Arlind Ajeti
FC Basel,Manuel Akanji
FC Basel,Diren Akdemir
FC Basel,Christian Albicker
FC Basel,Fritz Albicker
FC Basel,Omar Alderete
FC Basel,Naser Aliji
FC Basel,Federico Almerares
FC Basel,Éder Álvarez Balanta
FC Basel,Martin Andermatt
FC Basel,Stephan Andrist
FC Basel,Marco Aratore
FC Basel,Musa Araz
FC Basel,Armando Ardizzoia
FC Basel,Mariano Armentano
FC Basel,Arthur Mendonça Cabral
FC Basel,Çağdaş Atan
FC Basel,Timothée Atouba
FC Basel,Fernando Horacio Ávalos
FC Basel,Yao Aziawonou
FC Basel,Papa Malick Ba
FC Basel,René Bader
FC Basel,Walter Balmer
FC Basel,Walter Bannwart
FC Basel,Sébastien Barberis
FC Basel,Olivier Bauer
FC Basel,Patrik Baumann
FC Basel,Reto Baumgartner
FC Basel,Helmut Benthaus
FC Basel,Ørjan Berg
FC Basel,Jan Berger
FC Basel,Winfried Berkemeier
FC Basel,Peter Bernauer
FC Basel,Bruno Berner
FC Basel,Brian Bertelsen
FC Basel,Paul Bettex
FC Basel,Karl Bielser
FC Basel,Walter Bielser
FC Basel,Birkir Bjarnason
FC Basel,Rolf Blättler
FC Basel,Heinz Blumer
FC Basel,Paul Blumer
FC Basel,Raúl Bobadilla
FC Basel,Jean-Paul Boëtius
FC Basel,Werner Bopp
FC Basel,Vlastimil Borecký
FC Basel,René Botteron
FC Basel,Olivier Boumelaha
FC Basel,Sabri Boumelaha
FC Basel,Virgile Boumelaha
FC Basel,Mourad Bounoua
FC Basel,Charles Bouwmeester
FC Basel,Rudolf Bredschneider
FC Basel,Roger Breithaupt
FC Basel,Kevin Bua
FC Basel,Delron Buckley
FC Basel,Remo Buess
FC Basel,Roman Buess
FC Basel,Franz Burgmeier
FC Basel,Gustav Buser
FC Basel,Cabral
FC Basel,Felipe Caicedo
FC Basel,Luís Calapes
FC Basel,Davide Callà
FC Basel,Samuele Campo
FC Basel,Mario Cantaluppi
FC Basel,César Carignano
FC Basel,Carlitos
FC Basel,Massimo Ceccaroni
FC Basel,Stefano Ceccaroni
FC Basel,Frédéric Chassot
FC Basel,Scott Chipperfield
FC Basel,Josip Colina
FC Basel,Massimo Colomba
FC Basel,Eray Cömert
FC Basel,Thibault Corbaz
FC Basel,Franco Costanzo
FC Basel,Philippe Cravero
FC Basel,Louis Crayton
FC Basel,Romain Crevoisier
FC Basel,Teófilo Cubillas
FC Basel,Zoltán Czibor
FC Basel,David Degen
FC Basel,Philipp Degen
FC Basel,Matías Emilio Delgado
FC Basel,Eren Derdiyok
FC Basel,Sergei Derkach
FC Basel,Marcelo Díaz
FC Basel,Serey Dié
FC Basel,Walter Dietrich
FC Basel,Wilhelm Dietz
FC Basel,Uwe Dittus
FC Basel,Antonio Dominique
FC Basel,Seydou Doumbia
FC Basel,Aleksandar Dragović
FC Basel,Uwe Dreher
FC Basel,Mart van Duren
FC Basel,Grégory Duruz
FC Basel,Serge Duvernois
FC Basel,Damir Džombić
FC Basel,Thierry Ebe
FC Basel,Eduardo Adelino da Silva
FC Basel,Mohamed Elneny
FC Basel,Mohamed Elyounoussi
FC Basel,Breel Embolo
FC Basel,Alfred Enderlin
FC Basel,Hermann Enderlin
FC Basel,Ivan Ergić
FC Basel,Antonio Esposito
FC Basel,Lucio Esposito
FC Basel,Fabinho Santos
FC Basel,Arthur Fahr
FC Basel,Adrian Falub
FC Basel,Emil Fehr
FC Basel,Beg Ferati
FC Basel,Paul Fischli
FC Basel,Hector Fisher
FC Basel,Hans-Rudolf Fitze
FC Basel,Franco Foda
FC Basel,Jean-Pierre François
FC Basel,Alexander Fransson
FC Basel,Alexander Frei
FC Basel,Fabian Frei
FC Basel,Mario Frick
FC Basel,Roberto Frigerio
FC Basel,Peter Füri
FC Basel,Omar Gaber
FC Basel,Serge Gaisser
FC Basel,Joan Gamper
FC Basel,Emil Ganter
FC Basel,Shkëlzen Gashi
FC Basel,Maurizio Gaudino
FC Basel,Willy Geisser
FC Basel,Marcos Gelabert
FC Basel,Gaetano Giallanza
FC Basel,Didier Gigon
FC Basel,Christian Eduardo Giménez
FC Basel,Jürgen Gjasula
FC Basel,Josef Goldschmidt
FC Basel,José Gonçalves
FC Basel,Michael Gonçalves
FC Basel,Derlis González
FC Basel,Ernst Gossweiler
FC Basel,Archibald E. Gough
FC Basel,Simon Grether
FC Basel,Simone Grippo
FC Basel,Fredy Grossenbacher
FC Basel,Tim Grossklaus
FC Basel,Thomas Grüter
FC Basel,Leandro Guaita
FC Basel,Francisco Gabriel Guerrero
FC Basel,Samet Gündüz
FC Basel,Çetin Güner
FC Basel,Urs Güntensperger
FC Basel,Bernt Haas
FC Basel,Thomas Häberli
FC Basel,Otto Haftl
FC Basel,Ahmed Hamoudi
FC Basel,Martin Hansen
FC Basel,Jürgen Hartmann
FC Basel,Emil Hasler
FC Basel,René Hasler
FC Basel,Helmut Hauser
FC Basel,Thomas Hauser
FC Basel,Maximilian Heidenreich
FC Basel,Fabrice Henry
FC Basel,Dominique Herr
FC Basel,Philippe Hertig
FC Basel,Marcel Herzog
FC Basel,Carl Albert Hintermann
FC Basel,Ottmar Hitzfeld
FC Basel,Ronny Hodel
FC Basel,Daniel Høegh
FC Basel,Paul Hofer
FC Basel,Stefan Huber
FC Basel,Ernst Hufschmid
FC Basel,Daniel Hug
FC Basel,Benjamin Huggel
FC Basel,Hans Hügi
FC Basel,Josef Hügi
FC Basel,Emil Hummel
FC Basel,Nicolas Hunziker
FC Basel,Robin Huser
FC Basel,Dennis Iapichino
FC Basel,Karl Ibach
FC Basel,Kurt Imhof
FC Basel,Samuel Inkoom
FC Basel,Gökhan Inler
FC Basel,Ertan Irizik
FC Basel,Cedric Itten
FC Basel,Ivan Ivanov
FC Basel,Fernand Jaccard
FC Basel,Alfred Jäck
FC Basel,Marc Janko
FC Basel,Martin Jeitziner
FC Basel,Darko Jevtić
FC Basel,Jørgen Juve
FC Basel,Yves Kaiser
FC Basel,Yoichiro Kakitani
FC Basel,Ernst Kaltenbach
FC Basel,Aldo Kalulu
FC Basel,Robin Kamber
FC Basel,Jakob Känzig
FC Basel,Rodolfo Kappenberger
FC Basel,Thomas Karrer
FC Basel,Mikheil Kavelashvili
FC Basel,Leopold Kielholz
FC Basel,Kléber de Carvalho Corrêa
FC Basel,Iván Knez
FC Basel,Adrian Knup
FC Basel,Antoine Kohn
FC Basel,Robert Kok
FC Basel,Sebastian Kollar
FC Basel,Oumar Kondé
FC Basel,Miroslav König
FC Basel,George Koumantarakis
FC Basel,Radoslav Kováč
FC Basel,Adrie van Kraay
FC Basel,Josef Kratochvíl
FC Basel,Niklas Kreuzer
FC Basel,Oliver Kreuzer
FC Basel,Axel Kruse
FC Basel,Otto Kuhn
FC Basel,Baykal Kulaksızoğlu
FC Basel,Marcel Kunz
FC Basel,Genséric Kusunga
FC Basel,Dereck Kutesa
FC Basel,Zdravko Kuzmanović
FC Basel,Jean-Pierre La Placa
FC Basel,Léo Lacroix
FC Basel,Michael Lang
FC Basel,Luka Lapenda
FC Basel,Jean-Paul Laufenburger
FC Basel,Detlev Lauscher
FC Basel,Philipp Leichner
FC Basel,Dirk Lellek
FC Basel,Jayson Leutwiler
FC Basel,Vratislav Lokvenc
FC Basel,Feliciano Magro
FC Basel,Erni Maissen
FC Basel,Daniel Majstorović
FC Basel,Thomas Mandl
FC Basel,Neftali Manzambi
FC Basel,Jean-Pierre Maradan
FC Basel,Yannick Marchand
FC Basel,Christian Marcolli
FC Basel,François Marque
FC Basel,Peter Marti
FC Basel,Slaven Matan
FC Basel,Kurt Maurer
FC Basel,Andre Meier
FC Basel,Riccardo Meili
FC Basel,Deniz Mendi
FC Basel,Djamel Mesbah
FC Basel,Ljubo Milicevic
FC Basel,Hermann Moll
FC Basel,Michel Morganella
FC Basel,Dominic Moser
FC Basel,André Muff
FC Basel,Serge Muhmenthaler
FC Basel,Patrick Müller
FC Basel,Walter Müller
FC Basel,Bruno Michaud
FC Basel,Walter Mundschin
FC Basel,Orhan Mustafi
FC Basel,Peter Nadig
FC Basel,Valmir Nafiu
FC Basel,Kōji Nakata
FC Basel,Giorgios Nemtsoudis
FC Basel,Harald Nickel
FC Basel,Eigil Nielsen
FC Basel,Đorđe Nikolić
FC Basel,Edmond N'Tiamoah
FC Basel,Alex Nyarko
FC Basel,Traugott Oberer
FC Basel,Dimitri Oberlin
FC Basel,Karl Odermatt
FC Basel,Radivoje Ognjanović
FC Basel,Noah Okafor
FC Basel,Lars Olsen
FC Basel,Lucia Ondrušová
FC Basel,David Orlando
FC Basel,Ahmed Ouattara
FC Basel,Pak Kwang-ryong
FC Basel,Vincenzo Palumbo
FC Basel,Park Joo-ho
FC Basel,Václav Pěchouček
FC Basel,Marco Pérez
FC Basel,Marko Perović
FC Basel,Raoul Petretta
FC Basel,Mladen Petrić
FC Basel,Siegfried Pfeiffer
FC Basel,Markus Pfirter
FC Basel,Charles Pickel
FC Basel,Carlo Porlezza
FC Basel,Dan Potocianu
FC Basel,Samuele Preisig
