team,avg_first_name,avg_middle_name,avg_last_name,avg_name
Granada CF footballers,Juan,,Martinez,Juan Martinez
Valencia CF,Javier,,Caneira,Javier Caneira
Real Valladolid,Juanito,,Suarez,Juanito Suarez
RC Celta de Vigo,Juan,,Suarez,Juan Suarez
Real Sociedad footballers,Juanito,,Arrate,Juanito Arrate
RCD Mallorca,Joan,,Suarez,Joan Suarez
Real Betis,Juan,,Palermo,Juan Palermo
Villarreal CF,Joan,,Morlanes,Joan Morlanes
Getafe CF footballers,Daniel,,Pernia,Daniel Pernia
SD Eibar footballers,Javier,,Garitano,Javier Garitano
RCD Espanyol footballers,Jose,,Martinez,Jose Martinez
CD Legan%C3%A9s,Jano,,Juan,Jano Juan
Albacete Balompi%C3%A9,Daniel,,Merino,Daniel Merino
AD Alcorc%C3%B3n footballers,Juanito,,Fernandez,Juanito Fernandez
UD Almer%C3%ADa,Juanito,,Serrano,Juanito Serrano
C%C3%A1diz CF,Juanito,,Caneda,Juanito Caneda
Deportivo de La Coru%C3%B1a,Juan,,Martinez,Juan Martinez
Elche CF,Juanin,,Atanet,Juanin Atanet
Extremadura UD footballers,Javi,,Fernandez,Javi Fernandez
CF Fuenlabrada footballers,Manuel,,Fernandez,Manuel Fernandez
Girona FC,Jandro,,Muniesa,Jandro Muniesa
SD Huesca footballers,Javito,,Hernandez,Javito Hernandez
UD Las Palmas,Juanito,,Merino,Juanito Merino
CD Lugo,Manuel,,Gonzalez,Manuel Gonzalez
M%C3%A1laga CF,Juanito,,Martinez,Juanito Martinez
CD Mirand%C3%A9s footballers,Javi,,Caneda,Javi Caneda
CD Numancia,Javi,,Merino,Javi Merino
Real Oviedo,Javi,,Fernandez,Javi Fernandez
SD Ponferradina,Jano,,Barreno,Jano Barreno
Racing de Santander,Juan,,Fernandez,Juan Fernandez
Rayo Vallecano,Juan,,Fernandez,Juan Fernandez
Sporting de Gij%C3%B3n,Jano,,Fernandez,Jano Fernandez
CD Tenerife,Juanito,,Martinez,Juanito Martinez
Real Zaragoza,Juanito,,Granero,Juanito Granero
Amiens SC,Sebastien,,Heloise,Sebastien Heloise
Angers SCO,Pablo,,Martinez,Pablo Martinez
FC Girondins de Bordeaux,Mariano,,Caneira,Mariano Caneira
Dijon FCO,Jordan,,Ciman,Jordan Ciman
Lille OSC,Rene,,Meite,Rene Meite
Olympique Lyonnais,Marcelo,,Fournier,Marcelo Fournier
Olympique de Marseille,Jean,,Lemina,Jean Lemina
FC Metz,Mario,,Metanire,Mario Metanire
AS Monaco FC,Patrice,,Grandsir,Patrice Grandsir
Montpellier HSC,Jean,,Bourrier,Jean Bourrier
FC Nantes,Maurice,,Mourabet,Maurice Mourabet
OGC Nice,Jean,,Gagnier,Jean Gagnier
N%C3%AEmes Olympique,Florea,,Martinez,Florea Martinez
Paris Saint-Germain FC,Florian,,Parente,Florian Parente
Stade de Reims,Alain,,Metanire,Alain Metanire
Stade Rennais FC,Jean,,Moreira,Jean Moreira
