team,avg_first_name,avg_middle_name,avg_last_name,avg_name
River Plate footballers,Juan,,Martinez,Juan Martinez
Club Atl%C3%A9tico V%C3%A9lez Sarsfield footballers,Juan,,Candelo,Juan Candelo
Estudiantes de La Plata footballers,Juan,,Fernandez,Juan Fernandez
Club Atl%C3%A9tico Independiente footballers,Daniel,,Pernia,Daniel Pernia
Racing Club de Avellaneda footballers,Carlos,,Diaz,Carlos Diaz
Atl%C3%A9tico Tucum%C3%A1n footballers,Gabriel,,Araoz,Gabriel Araoz
Hurac%C3%A1n footballers,Mauro,,Milano,Mauro Milano
Central C%C3%B3rdoba de Santiago del Estero footballers,Franco,,Vella,Franco Vella
Aldosivi footballers,Juan,,Herron,Juan Herron
Banfield footballers,Jose,,Payero,Jose Payero
Uni%C3%B3n de Santa Fe footballers,Cristian,,Peano,Cristian Peano
Col%C3%B3n FC,Mariana,,Gonzalez,Mariana Gonzalez
Defensa y Justicia footballers,Juan,,Bareiro,Juan Bareiro
Godoy Cruz footballers,Gabriel,,Fernandez,Gabriel Fernandez
Gimnasia y Esgrima de La Plata footballers,Siro,,Bareiro,Siro Bareiro
Quer%C3%A9taro FC footballers,Mauro,,Martinez,Mauro Martinez
Santos Laguna footballers,Mario,,Cardenas,Mario Cardenas
Club Am%C3%A9rica footballers,Mario,,Martinez,Mario Martinez
Club Necaxa footballers,Jose,,Meza,Jose Meza
Tigres UANL footballers,Alan,,Mendoza,Alan Mendoza
Club Atlas footballers,Daniel,,Cervantes,Daniel Cervantes
Club Le%C3%B3n footballers,Cesar,,Gonzalez,Cesar Gonzalez
CF Monterrey,Dario,,Mendez,Dario Mendez
Club Universidad Nacional footballers,Manuel,,Martinez,Manuel Martinez
Atl%C3%A9tico San Luis footballers,Jose,,Castro,Jose Castro
Cruz Azul footballers,Javier,,Hernandez,Javier Hernandez
Club Tijuana footballers,Juan,,Mendoza,Juan Mendoza
Monarcas Morelia footballers,Carlos,,Figueroa,Carlos Figueroa
CF Pachuca,Juan,,Lainez,Juan Lainez
CD Guadalajara footballers,Carlos,,Cardenas,Carlos Cardenas
FC Ju%C3%A1rez footballers,Ian,,Pais,Ian Pais
Puebla FC,Pablo,,Cervantes,Pablo Cervantes
Deportivo Toluca FC,Daniel,,Quezada,Daniel Quezada
Tiburones Rojos de Veracruz footballers,Adrian,,Ramirez,Adrian Ramirez
Adelaide United FC,Marc,,Armiento,Marc Armiento
Brisbane Roar FC,Marcio,,Reardon,Marcio Reardon
Central Coast Mariners FC,Mathew,,Henderson,Mathew Henderson
Melbourne City FC,Marc,,Marino,Marc Marino
Melbourne Victory FC,Kieran,,Markelis,Kieran Markelis
Newcastle Jets FC,Mario,,Watson,Mario Watson
Perth Glory FC,Jamie,,Jovanic,Jamie Jovanic
Sydney FC,David,,Kisel,David Kisel
Wellington Phoenix FC,Jiang,,Lindsay,Jiang Lindsay
Western Sydney Wanderers FC,Nicolas,,Bouzanis,Nicolas Bouzanis
Western United FC,Connor,,Calver,Connor Calver
Los Angeles FC,Charlie,,Fernandez,Charlie Fernandez
Philadelphia Union,Charlie,,Jones,Charlie Jones
New York City FC,Alexander,,Parks,Alexander Parks
Atlanta United FC,Josef,,Heath,Josef Heath
Seattle Sounders FC,Charlie,,Martinez,Charlie Martinez
