team,player
Granada CF footballers,Abel Gómez
Granada CF footballers,Clifford Aboagye
Granada CF footballers,Uche Henry Agbo
Granada CF footballers,Salvador Agra
Granada CF footballers,Juan Bautista Agüero
Granada CF footballers,Francisco Aguilar
Granada CF footballers,Ramón Aguirre Suárez
Granada CF footballers,Nicolás Aguirre
Granada CF footballers,Kabiru Akinsola
Granada CF footballers,Alberto Martín
Granada CF footballers,Lucas Alcaraz
Granada CF footballers,Matías Alonso
Granada CF footballers,Jon Altuna
Granada CF footballers,Antonio Álvarez
Granada CF footballers,Delfín Álvarez
Granada CF footballers,Iván Amaya
Granada CF footballers,Prince Koranteng Amoako
Granada CF footballers,Victorien Angban
Granada CF footballers,Brayan Angulo
Granada CF footballers,José Enrique Angulo
Granada CF footballers,Ikechi Anya
Granada CF footballers,Youssef El-Arabi
Granada CF footballers,Carlos Aranda
Granada CF footballers,Aridane Hernández
Granada CF footballers,Omer Atzili
Granada CF footballers,Ramon Azeez
Granada CF footballers,Jean-Sylvain Babin
Granada CF footballers,Raúl Baena
Granada CF footballers,Lass Bangoura
Granada CF footballers,Fernando Barrachina
Granada CF footballers,David Barral
Granada CF footballers,Pedro Barrancos
Granada CF footballers,Essaïd Belkalem
Granada CF footballers,Dani Benítez
Granada CF footballers,Gustavo Benítez
Granada CF footballers,Álex Bergantiños
Granada CF footballers,Álex Bernal
Granada CF footballers,Jesús Berrocal
Granada CF footballers,Cristiano Biraghi
Granada CF footballers,Richard Boateng
Granada CF footballers,Jérémie Boga
Granada CF footballers,Antonio Bonet
Granada CF footballers,Yacine Brahimi
Granada CF footballers,Pedro Braojos
Granada CF footballers,Christian Bravo
Granada CF footballers,Alberto Bueno
Granada CF footballers,Diego Buonanotte
Granada CF footballers,Cala
Granada CF footballers,Carlos Calvo
Granada CF footballers,Diego Camacho
Granada CF footballers,Samuel Camille
Granada CF footballers,Matías Campos
Granada CF footballers,Daniel Candeias
Granada CF footballers,Iván Candela
Granada CF footballers,Capi
Granada CF footballers,Mehdi Carcela
Granada CF footballers,Carlitos
Granada CF footballers,José María Cases
Granada CF footballers,Adri Castellano
Granada CF footballers,Juan Cervián
Granada CF footballers,Chico
Granada CF footballers,Brian Chrøis
Granada CF footballers,Alexandre Coeff
Granada CF footballers,Lluís Coll
Granada CF footballers,Juan José Collantes
Granada CF footballers,Álex Colorado
Granada CF footballers,Adrián Colunga
Granada CF footballers,Arseni Comas
Granada CF footballers,Aldana Cometti
Granada CF footballers,Jhon Córdoba
Granada CF footballers,Sebastián Corona
Granada CF footballers,Enrique Corrales
Granada CF footballers,David Cortés
