team,avg_first_name,avg_middle_name,avg_last_name,avg_name
Karlsruher SC,Martin,,Roser,Martin Roser
1 FC Heidenheim,Martin,,Vier,Martin Vier
Hannover 96,Felipe,,Ismael,Felipe Ismael
FC St Pauli,Marco,,Lechner,Marco Lechner
Dynamo Dresden,Mario,,Zacher,Mario Zacher
Holstein Kiel,Patrick,,Fischer,Patrick Fischer
SV Darmstadt 98,Elia,,Sailer,Elia Sailer
VfL Bochum,Danilo,,Geisler,Danilo Geisler
SV Wehen Wiesbaden,Patric,,Doringer,Patric Doringer
Atalanta BC,Fabiano,,Perani,Fabiano Perani
Bologna FC 1909,Daniele,,Perani,Daniele Perani
Brescia Calcio,Andrea,,Dainelli,Andrea Dainelli
Cagliari Calcio,Mario,,Marcolin,Mario Marcolin
ACF Fiorentina,Adriano,,Bertini,Adriano Bertini
Genoa CFC,Gaetano,,Dainelli,Gaetano Dainelli
Hellas Verona FC,Juanito,,Dainelli,Juanito Dainelli
Inter Milan,Dino,,Bertini,Dino Bertini
Juventus FC,Danilo,,Lemina,Danilo Lemina
SS Lazio,Mauricio,,Faraoni,Mauricio Faraoni
US Lecce,Dino,,Dainelli,Dino Dainelli
AC Milan,Marco,,,Marco
SSC Napoli,Daniele,,Sogliano,Daniele Sogliano
Parma Calcio 1913,Adriano,,Frediani,Adriano Frediani
AS Roma,Adriano,,Petrini,Adriano Petrini
UC Sampdoria,Andrea,,Marcolin,Andrea Marcolin
SPAL,Fabio,,Arini,Fabio Arini
Torino FC,Mario,,Briano,Mario Briano
Udinese Calcio,Samir,,Bertoni,Samir Bertoni
Ascoli Calcio 1898 FC,Daniele,,Frediani,Daniele Frediani
Benevento Calcio,Fabio,,Persiani,Fabio Persiani
AC ChievoVerona,Mariano,,Dainelli,Mariano Dainelli
AS Cittadella,Luca,,Martin,Luca Martin
Cosenza Calcio,Mariano,,Giordano,Mariano Giordano
US Cremonese,Juanito,,Arini,Juanito Arini
FC Crotone,Manuel,,Sinato,Manuel Sinato
Empoli FC,Gaetano,,Dainelli,Gaetano Dainelli
Frosinone Calcio,Luciano,,Persiani,Luciano Persiani
SS Juve Stabia,Gaetano,,Cellini,Gaetano Cellini
AS Livorno Calcio,Marco,,Dainelli,Marco Dainelli
AC Perugia Calcio,Daniele,,Martini,Daniele Martini
Delfino Pescara 1936,Andrea,,Martini,Andrea Martini
AC Pisa 1909,Marco,,Frediani,Marco Frediani
Pordenone Calcio,Luca,,Martin,Luca Martin
US Salernitana 1919,Romano,,Mantovani,Romano Mantovani
Spezia Calcio,Fabiano,,Zaninelli,Fabiano Zaninelli
Trapani Calcio,Simone,,Pacilli,Simone Pacilli
Venezia FC,Marco,,Pinato,Marco Pinato
Virtus Entella,Simone,,Sansovini,Simone Sansovini
Belenenses SAD,Lica,,Dias,Lica Dias
SL Benfica footballers,Rosario,,Freitas,Rosario Freitas
