team,avg_first_name,avg_middle_name,avg_last_name,avg_name
Cerezo Osaka,Daisuke,,Koga,Daisuke Koga
Hokkaido Consadole Sapporo,Yasuyoshi,,Sakai,Yasuyoshi Sakai
Oita Trinita,Yuzo,,Maeda,Yuzo Maeda
Nagoya Grampus,Yasuaki,,Kato,Yasuaki Kato
Shonan Bellmare,Yu,,Toda,Yu Toda
Urawa Red Diamonds,Takuya,,Ota,Takuya Ota
Vissel Kobe,Yosuke,,Wada,Yosuke Wada
Shimizu S-Pulse,Katsumi,,Wada,Katsumi Wada
Gamba Osaka,Katsuhiro,,Wada,Katsuhiro Wada
Vegalta Sendai,Kaina,,Taira,Kaina Taira
Sagan Tosu,Kohei,,Kanai,Kohei Kanai
Matsumoto Yamaga FC,Kazuya,,Maeda,Kazuya Maeda
J%C3%BAbilo Iwata,Katsumi,,Ihara,Katsumi Ihara
Guangzhou Evergrande Taobao FC,Liu,,Ning,Liu Ning
Beijing Guoan FC,Zhang,,Jialiang,Zhang Jialiang
Shanghai SIPG FC,Wu,,Jinghang,Wu Jinghang
Shandong Luneng Taishan FC,Liu,,Xiaofeng,Liu Xiaofeng
Jiangsu Suning FC,Ma,,Xiaoheng,Ma Xiaoheng
Wuhan Zall FC,Li,,Jian,Li Jian
Dalian Yifang FC,Yu,,Liang,Yu Liang
Chongqing Lifan FC,Li,,Wenxiang,Li Wenxiang
Tianjin Teda FC,Liu,,Jianping,Liu Jianping
Henan Jianye FC,Liang,,Peng,Liang Peng
Guangzhou R%26F FC,Yu,,Ming,Yu Ming
Shanghai Shenhua FC,Xu,,Xiang,Xu Xiang
Hebei China Fortune FC,Lu,,Ning,Lu Ning
Tianjin Tianhai FC,Zhang,,Jihong,Zhang Jihong
Shenzhen FC,Xu,,Liang,Xu Liang
Beijing Renhe FC,Liu,,Liang,Liu Liang
