team,avg_first_name,avg_middle_name,avg_last_name,avg_name
Club Brugge KV,Koen,,Sorensen,Koen Sorensen
KV Mechelen,Patrice,,Bosiers,Patrice Bosiers
Royal Excel Mouscron,Julian,,Jelavic,Julian Jelavic
KAA Gent,Martin,,Poletanovic,Martin Poletanovic
KRC Genk,Koen,,Cornelis,Koen Cornelis
KV Oostende,Fabrice,,Cornet,Fabrice Cornet
SV Zulte Waregem,Saido,,Berahino,Saido Berahino
Royal Antwerp FC,Jamie,,Doherty,Jamie Doherty
R Charleroi SC,Dorian,,Dervite,Dorian Dervite
KV Kortrijk,Laurent,,Metanire,Laurent Metanire
Sint-Truidense VV,Koen,,Simaeys,Koen Simaeys
RSC Anderlecht,Maurice,,Cornelis,Maurice Cornelis
Cercle Brugge KSV,Denis,,Cornelis,Denis Cornelis
KAS Eupen,Marc,,Valiente,Marc Valiente
Waasland-Beveren,Harrie,,Milosevic,Harrie Milosevic
Alanyaspor footballers,Juanfran,,Yilmaz,Juanfran Yilmaz
Fenerbah%C3%A7e SK footballers,Serkan,,Silan,Serkan Silan
Denizlispor footballers,Ersen,,Calik,Ersen Calik
%C3%87aykur Rizespor footballers,Murat,,Altinay,Murat Altinay
Trabzonspor footballers,Ersen,,Marin,Ersen Marin
MKE Ankarag%C3%BCc%C3%BC footballers,Serol,,Ozkan,Serol Ozkan
Sivasspor footballers,Ersen,,Celikay,Ersen Celikay
Be%C5%9Fikta%C5%9F JK footballers,Adriano,,Celikay,Adriano Celikay
Galatasaray SK footballers,Mariano,,Calik,Mariano Calik
Antalyaspor footballers,Senol,,Arslan,Senol Arslan
Gazi%C5%9Fehir Gaziantep FK footballers,Burhan,,Aslan,Burhan Aslan
Yeni Malatyaspor,Musa,,Calik,Musa Calik
Konyaspor footballers,Omer,,Felgueiras,Omer Felgueiras
%C4%B0stanbul Ba%C5%9Fak%C5%9Fehir FK,Merthan,,Yalcin,Merthan Yalcin
Kayserispor footballers,Berkan,,Yalcin,Berkan Yalcin
Kas%C4%B1mpa%C5%9Fa SK footballers,Ersen,,Baran,Ersen Baran
G%C3%B6ztepe SK footballers,Ersen,,Cetin,Ersen Cetin
Gen%C3%A7lerbirli%C4%9Fi SK footballers,Ersen,,Calik,Ersen Calik
Celtic FC,Joe,,Gardyne,Joe Gardyne
Rangers FC,Joe,,Manderson,Joe Manderson
Livingston FC,Jamie,,Bartley,Jamie Bartley
Aberdeen FC,John,,Robertson,John Robertson
Motherwell FC,Jamie,,Grehan,Jamie Grehan
Kilmarnock FC,Joe,,Nelson,Joe Nelson
Hamilton Academical FC,John,,Gilhaney,John Gilhaney
Ross County FC,Joe,,Anderson,Joe Anderson
Hibernian FC,Joe,,Henderson,Joe Henderson
St Mirren FC,Pat,,Cameron,Pat Cameron
Heart of Midlothian FC,John,,Petras,John Petras
St Johnstone FC,John,,Robertson,John Robertson
BSC Young Boys,Josef,,Martinez,Josef Martinez
FC Basel,Adrian,,Wieser,Adrian Wieser
FC Sion,Gabriel,,Berisha,Gabriel Berisha
FC Thun,Dario,,Wieser,Dario Wieser
Servette FC,Daniel,,Soares,Daniel Soares
