team,player
SSV Jahn Regensburg,Sargis Adamyan
SSV Jahn Regensburg,Andreas Albers
SSV Jahn Regensburg,Christian Alder
SSV Jahn Regensburg,Selçuk Alibaz
SSV Jahn Regensburg,Koray Altınay
SSV Jahn Regensburg,Abdenour Amachaibou
SSV Jahn Regensburg,Dimitrios Anastasopoulos
SSV Jahn Regensburg,Aias Aosman
SSV Jahn Regensburg,Tom Baack
SSV Jahn Regensburg,Moïse Bambara
SSV Jahn Regensburg,Dominik Bergdorf
SSV Jahn Regensburg,Denis Berger
SSV Jahn Regensburg,Max Besuschkow
SSV Jahn Regensburg,Christian Bickel
SSV Jahn Regensburg,Stefan Binder
SSV Jahn Regensburg,João Paulo Brito
SSV Jahn Regensburg,Alexander Buch
SSV Jahn Regensburg,Carlinhos
SSV Jahn Regensburg,Michał Chałbiński
SSV Jahn Regensburg,Marco Christ
SSV Jahn Regensburg,Marcel Correia
SSV Jahn Regensburg,Julian de Guzman
SSV Jahn Regensburg,Romain Dedola
SSV Jahn Regensburg,André Dej
SSV Jahn Regensburg,Marco Djuricin
SSV Jahn Regensburg,Romas Dressler
SSV Jahn Regensburg,Matthias Dürmeyer
SSV Jahn Regensburg,Patrik Džalto
SSV Jahn Regensburg,Tim Erfen
SSV Jahn Regensburg,Jonas Erwig-Drüppel
SSV Jahn Regensburg,Michael Faber
SSV Jahn Regensburg,Adrian Fein
SSV Jahn Regensburg,Daniel Fernandes
SSV Jahn Regensburg,Oliver Fink
SSV Jahn Regensburg,Tobias Fink
SSV Jahn Regensburg,Harald Fleischer
SSV Jahn Regensburg,Jonas Föhrenbach
SSV Jahn Regensburg,Andrés Formento
SSV Jahn Regensburg,Daniel Franziskus
SSV Jahn Regensburg,Sebastian Freis
SSV Jahn Regensburg,Bashiru Gambo
SSV Jahn Regensburg,Andreas Geipl
SSV Jahn Regensburg,Jann George
SSV Jahn Regensburg,Hamadi Al Ghaddioui
SSV Jahn Regensburg,Grover Gibson
SSV Jahn Regensburg,Benedikt Gimber
SSV Jahn Regensburg,Kristjan Glibo
SSV Jahn Regensburg,Uwe Gospodarek
SSV Jahn Regensburg,Dennis Grassow
SSV Jahn Regensburg,Marco Grüttner
SSV Jahn Regensburg,Andreas Güntner
SSV Jahn Regensburg,Patrick Haag
SSV Jahn Regensburg,Marcel Hagmann
SSV Jahn Regensburg,Marco Haller
SSV Jahn Regensburg,Oliver Hein
SSV Jahn Regensburg,Florian Heister
SSV Jahn Regensburg,Bernhard Hendl
SSV Jahn Regensburg,Stanislaus Herzel
SSV Jahn Regensburg,Uwe Hesse
SSV Jahn Regensburg,Manuel Hiemer
SSV Jahn Regensburg,Jan Hoffmann
SSV Jahn Regensburg,Kevin Hoffmann
SSV Jahn Regensburg,Michael Hofmann
SSV Jahn Regensburg,Sebastian Hofmann
SSV Jahn Regensburg,Marcel Hofrath
SSV Jahn Regensburg,Florian Hörnig
SSV Jahn Regensburg,Dylan Hughes
SSV Jahn Regensburg,Karsten Hutwelker
SSV Jahn Regensburg,Haris Hyseni
SSV Jahn Regensburg,Hans Jakob
SSV Jahn Regensburg,Stefan Jarosch
SSV Jahn Regensburg,Lars Jensen
SSV Jahn Regensburg,Wilson Kamavuaka
SSV Jahn Regensburg,Jeremy Karikari
SSV Jahn Regensburg,Özgür Kart
SSV Jahn Regensburg,Yusuf Kasal
SSV Jahn Regensburg,Enrico Kern
SSV Jahn Regensburg,Carsten Keuler
SSV Jahn Regensburg,Thiemo-Jérôme Kialka
SSV Jahn Regensburg,Michael Klauß
SSV Jahn Regensburg,Markus Knackmuß
SSV Jahn Regensburg,Tim Knipping
SSV Jahn Regensburg,Marvin Knoll
SSV Jahn Regensburg,Koke
SSV Jahn Regensburg,Dubravko Kolinger
SSV Jahn Regensburg,Michal Kolomazník
SSV Jahn Regensburg,Marco Königs
SSV Jahn Regensburg,Sven Kopp
SSV Jahn Regensburg,Jonatan Kotzke
