team,player
SSV Jahn Regensburg,Marijan Kovačević
SSV Jahn Regensburg,Kenneth Kronholm
SSV Jahn Regensburg,Thomas Kurz
SSV Jahn Regensburg,Adli Lachheb
SSV Jahn Regensburg,Marc Lais
SSV Jahn Regensburg,André Laurito
SSV Jahn Regensburg,Dirk Lehmann
SSV Jahn Regensburg,Patrick Lienhard
SSV Jahn Regensburg,Stephan Loboué
SSV Jahn Regensburg,Grégory Lorenzi
SSV Jahn Regensburg,André Luge
SSV Jahn Regensburg,César M'Boma
SSV Jahn Regensburg,Federico Palacios Martínez
SSV Jahn Regensburg,Alexander Maul
SSV Jahn Regensburg,George Mbwando
SSV Jahn Regensburg,Joshua Mees
SSV Jahn Regensburg,Ermin Melunović
SSV Jahn Regensburg,Alexander Meyer
SSV Jahn Regensburg,Noah Michel
SSV Jahn Regensburg,Michał Misiewicz
SSV Jahn Regensburg,Oualid Mokhtari
SSV Jahn Regensburg,Youssef Mokhtari
SSV Jahn Regensburg,David Montero
SSV Jahn Regensburg,Jozef Mores
SSV Jahn Regensburg,Ismail Morina
SSV Jahn Regensburg,Igoris Morinas
SSV Jahn Regensburg,Zlatko Muhović
SSV Jahn Regensburg,Heinz Müller
SSV Jahn Regensburg,Jim-Patrick Müller
SSV Jahn Regensburg,Marius Müller
SSV Jahn Regensburg,Sebastian Nachreiner
SSV Jahn Regensburg,Alexander Nandzik
SSV Jahn Regensburg,Mario Neunaber
SSV Jahn Regensburg,Jonas Nietfeld
SSV Jahn Regensburg,Tam Nsaliwa
SSV Jahn Regensburg,Herbert Obele
SSV Jahn Regensburg,Timo Ochs
SSV Jahn Regensburg,Ali Odabas
SSV Jahn Regensburg,Chima Okoroji
SSV Jahn Regensburg,Aykut Öztürk
SSV Jahn Regensburg,Markus Palionis
SSV Jahn Regensburg,Vlado Papić
SSV Jahn Regensburg,Thomas Paulus
SSV Jahn Regensburg,Philipp Pentke
SSV Jahn Regensburg,Peter Peschel
SSV Jahn Regensburg,Michael Petry
SSV Jahn Regensburg,Ronny Philp
SSV Jahn Regensburg,Alexandru Pițurcă
SSV Jahn Regensburg,Tim Pollmann
SSV Jahn Regensburg,Ruben Popa
SSV Jahn Regensburg,Kolja Pusch
SSV Jahn Regensburg,Petr Rada
SSV Jahn Regensburg,Thomas Radlspeck
SSV Jahn Regensburg,Christian Rahn
SSV Jahn Regensburg,Ramon Machado
SSV Jahn Regensburg,Marcel Reichwein
SSV Jahn Regensburg,Manfred Ritschel
SSV Jahn Regensburg,Altin Rraklli
SSV Jahn Regensburg,Erol Sabanov
SSV Jahn Regensburg,Benedikt Saller
SSV Jahn Regensburg,Rouven Sattelmaier
SSV Jahn Regensburg,Sabrin Sburlea
SSV Jahn Regensburg,Andreas Schäffer
SSV Jahn Regensburg,Tobias Schlauderer
SSV Jahn Regensburg,Benedikt Schmid
SSV Jahn Regensburg,Dominik Schmid
SSV Jahn Regensburg,Jürgen Schmid
SSV Jahn Regensburg,Oliver Schmidt
SSV Jahn Regensburg,Gerd Schneider
SSV Jahn Regensburg,Jan-Marc Schneider
SSV Jahn Regensburg,Daniel Schöpf
SSV Jahn Regensburg,Tobias Schweinsteiger
SSV Jahn Regensburg,Roland Seitz
SSV Jahn Regensburg,Mersad Selimbegović
SSV Jahn Regensburg,Francky Sembolo
SSV Jahn Regensburg,Anton Shynder
SSV Jahn Regensburg,Patrik Siegl
SSV Jahn Regensburg,Hannes Sigurðsson
SSV Jahn Regensburg,Lukas Sinkiewicz
SSV Jahn Regensburg,Markus Smarzoch
SSV Jahn Regensburg,Asger Sørensen
SSV Jahn Regensburg,Thorben Stadler
SSV Jahn Regensburg,Daniel Steininger
SSV Jahn Regensburg,Petr Stoilov
SSV Jahn Regensburg,Sebastian Stolze
SSV Jahn Regensburg,Carsten Sträßer
SSV Jahn Regensburg,Oliver Straube
SSV Jahn Regensburg,Richard Strebinger
SSV Jahn Regensburg,László Szűcs
SSV Jahn Regensburg,Florian Tausendpfund
SSV Jahn Regensburg,Mahmut Temür
SSV Jahn Regensburg,Maximilian Thalhammer
SSV Jahn Regensburg,Erik Thommy
SSV Jahn Regensburg,Senad Tiganj
SSV Jahn Regensburg,András Tölcséres
SSV Jahn Regensburg,Dino Toppmöller
SSV Jahn Regensburg,Gyula Toth
SSV Jahn Regensburg,Fabian Trettenbach
SSV Jahn Regensburg,Robin Urban
SSV Jahn Regensburg,Azur Velagić
SSV Jahn Regensburg,Dominic Volkmer
SSV Jahn Regensburg,Albion Vrenezi
SSV Jahn Regensburg,Alexander Weidinger
SSV Jahn Regensburg,Denis Weidlich
SSV Jahn Regensburg,Markus Weinzierl
SSV Jahn Regensburg,André Weis
SSV Jahn Regensburg,Erik Wekesser
SSV Jahn Regensburg,Patrick Wiegers
SSV Jahn Regensburg,Tobias Wiesner
SSV Jahn Regensburg,Julian Wießmeier
SSV Jahn Regensburg,Gino Windmüller
SSV Jahn Regensburg,Patrick Würll
SSV Jahn Regensburg,Felippe Ximenes
SSV Jahn Regensburg,Ramazan Yıldırım
SSV Jahn Regensburg,Tobias Zellner
SSV Jahn Regensburg,Markus Ziereis
SSV Jahn Regensburg,Philipp Ziereis
SSV Jahn Regensburg,Martin Zurawsky
1 FC N%C3%BCrnberg,Jacques Abardonado
1 FC N%C3%BCrnberg,Rüdiger Abramczik
1 FC N%C3%BCrnberg,Nicky Adler
1 FC N%C3%BCrnberg,Daniel Adlung
1 FC N%C3%BCrnberg,Lawrence Aidoo
1 FC N%C3%BCrnberg,Anton Allemann
1 FC N%C3%BCrnberg,Enis Alushi
1 FC N%C3%BCrnberg,Jørn Andersen
1 FC N%C3%BCrnberg,Martin Angha
1 FC N%C3%BCrnberg,Hanno Balitsch
1 FC N%C3%BCrnberg,Ivica Banović
1 FC N%C3%BCrnberg,Daniel Batz
1 FC N%C3%BCrnberg,Robert Bauer
1 FC N%C3%BCrnberg,Dominic Baumann
1 FC N%C3%BCrnberg,Frank Baumann
1 FC N%C3%BCrnberg,Gunther Baumann
1 FC N%C3%BCrnberg,Uli Bayerschmidt
1 FC N%C3%BCrnberg,Michael Beauchamp
1 FC N%C3%BCrnberg,Erich Beer
1 FC N%C3%BCrnberg,Hanno Behrens
1 FC N%C3%BCrnberg,Bertram Beierlorzer
1 FC N%C3%BCrnberg,Milan Belić
1 FC N%C3%BCrnberg,Dimcho Belyakov
1 FC N%C3%BCrnberg,Nassim Ben Khalifa
1 FC N%C3%BCrnberg,Leon Benko
1 FC N%C3%BCrnberg,Winfried Berkemeier
1 FC N%C3%BCrnberg,Pascal Bieler
1 FC N%C3%BCrnberg,Manuel Bihr
1 FC N%C3%BCrnberg,Willi Billmann
1 FC N%C3%BCrnberg,Albert Bittlmayer
1 FC N%C3%BCrnberg,Ulrich Bittorf
1 FC N%C3%BCrnberg,Horst Blankenburg
1 FC N%C3%BCrnberg,Jaromír Blažek
1 FC N%C3%BCrnberg,Danny Blum
1 FC N%C3%BCrnberg,Isaac Boakye
1 FC N%C3%BCrnberg,Jörg Böhme
1 FC N%C3%BCrnberg,Bartosz Bosacki
1 FC N%C3%BCrnberg,René Botteron
1 FC N%C3%BCrnberg,Perry Bräutigam
1 FC N%C3%BCrnberg,Mišo Brečko
1 FC N%C3%BCrnberg,Fabian Bredlow
1 FC N%C3%BCrnberg,Breno Borges
1 FC N%C3%BCrnberg,Mário Breška
1 FC N%C3%BCrnberg,Thomas Broich
1 FC N%C3%BCrnberg,Felicio Brown Forbes
1 FC N%C3%BCrnberg,Franz Brungs
1 FC N%C3%BCrnberg,Thomas Brunner
1 FC N%C3%BCrnberg,Jürgen Bucher
1 FC N%C3%BCrnberg,Dave Bulthuis
1 FC N%C3%BCrnberg,Albert Bunjaku
1 FC N%C3%BCrnberg,Henning Bürger
1 FC N%C3%BCrnberg,Manfred Burgsmüller
1 FC N%C3%BCrnberg,Guido Burgstaller
1 FC N%C3%BCrnberg,Sergio Bustos
1 FC N%C3%BCrnberg,Cacau
1 FC N%C3%BCrnberg,José Campaña
1 FC N%C3%BCrnberg,Daniel Candeias
1 FC N%C3%BCrnberg,Mario Cantaluppi
1 FC N%C3%BCrnberg,Zvezdan Čebinac
1 FC N%C3%BCrnberg,Ondřej Čelůstka
1 FC N%C3%BCrnberg,Adam Gnezda Čerin
1 FC N%C3%BCrnberg,Timothy Chandler
1 FC N%C3%BCrnberg,Angelos Charisteas
1 FC N%C3%BCrnberg,Adel Chedli
1 FC N%C3%BCrnberg,Eric Maxim Choupo-Moting
1 FC N%C3%BCrnberg,Marco Christ
1 FC N%C3%BCrnberg,Saša Ćirić
1 FC N%C3%BCrnberg,Almog Cohen
1 FC N%C3%BCrnberg,Antonio Čolak
1 FC N%C3%BCrnberg,Ante Čović
1 FC N%C3%BCrnberg,Hans-Jörg Criens
1 FC N%C3%BCrnberg,Goran Ćurko
1 FC N%C3%BCrnberg,Berkay Dabanlı
1 FC N%C3%BCrnberg,Markus Daun
1 FC N%C3%BCrnberg,Pavel David
1 FC N%C3%BCrnberg,Oktay Derelioğlu
1 FC N%C3%BCrnberg,Daniel Didavi
1 FC N%C3%BCrnberg,Theo Diegelmann
1 FC N%C3%BCrnberg,Dennis Diekmeier
1 FC N%C3%BCrnberg,Maximilian Dittgen
1 FC N%C3%BCrnberg,Jörg Dittwar
1 FC N%C3%BCrnberg,Constant Djakpa
1 FC N%C3%BCrnberg,Hans Dorfner
1 FC N%C3%BCrnberg,Nikola Dovedan
1 FC N%C3%BCrnberg,Werner Dreßel
1 FC N%C3%BCrnberg,Günter Drews
1 FC N%C3%BCrnberg,Manfred Drexler
1 FC N%C3%BCrnberg,Martin Driller
1 FC N%C3%BCrnberg,Josip Drmić
1 FC N%C3%BCrnberg,Ralf Dusend
1 FC N%C3%BCrnberg,Harald Ebertz
1 FC N%C3%BCrnberg,René van Eck
1 FC N%C3%BCrnberg,Dieter Eckstein
1 FC N%C3%BCrnberg,Norbert Eder
1 FC N%C3%BCrnberg,Michael Eggert
1 FC N%C3%BCrnberg,Thomas Eichin
1 FC N%C3%BCrnberg,Christian Eigler
1 FC N%C3%BCrnberg,Mehmet Ekici
1 FC N%C3%BCrnberg,Marco Engelhardt
1 FC N%C3%BCrnberg,Patrick Erras
1 FC N%C3%BCrnberg,Alexander Esswein
1 FC N%C3%BCrnberg,Willi Evseev
1 FC N%C3%BCrnberg,Ewerton
1 FC N%C3%BCrnberg,Marcus Feinbier
1 FC N%C3%BCrnberg,Karl-Heinz Ferschl
1 FC N%C3%BCrnberg,Markus Feulner
1 FC N%C3%BCrnberg,Marc Fiechter
1 FC N%C3%BCrnberg,Philipp Förster
1 FC N%C3%BCrnberg,Wolfgang Frank
1 FC N%C3%BCrnberg,Mike Frantz
1 FC N%C3%BCrnberg,Dieter Frey
1 FC N%C3%BCrnberg,Michael Frey
1 FC N%C3%BCrnberg,Georg Friedel
1 FC N%C3%BCrnberg,Kay Friedmann
1 FC N%C3%BCrnberg,Alexander Fuchs
1 FC N%C3%BCrnberg,Markus Fuchs
1 FC N%C3%BCrnberg,Wenanty Fuhl
1 FC N%C3%BCrnberg,Niclas Füllkrug
1 FC N%C3%BCrnberg,Tomáš Galásek
1 FC N%C3%BCrnberg,Ulisses Garcia
1 FC N%C3%BCrnberg,Sebastian Gärtner
1 FC N%C3%BCrnberg,Odirlei de Souza Gaspar
1 FC N%C3%BCrnberg,Robert Gebhardt
1 FC N%C3%BCrnberg,Timo Gebhart
1 FC N%C3%BCrnberg,Hans Geiger
1 FC N%C3%BCrnberg,Heiko Gerber
1 FC N%C3%BCrnberg,Peter Geyer
1 FC N%C3%BCrnberg,Daniel Ginczek
1 FC N%C3%BCrnberg,Anders Giske
1 FC N%C3%BCrnberg,Rúrik Gíslason
1 FC N%C3%BCrnberg,Gláuber
1 FC N%C3%BCrnberg,Kevin Goden
1 FC N%C3%BCrnberg,André Golke
1 FC N%C3%BCrnberg,Mirza Golubica
1 FC N%C3%BCrnberg,Louis Gomis
1 FC N%C3%BCrnberg,José Gonçalves
1 FC N%C3%BCrnberg,Omar Gonzalez
1 FC N%C3%BCrnberg,Roland Grahammer
1 FC N%C3%BCrnberg,Ricci Greenwood
1 FC N%C3%BCrnberg,Frank Greiner
1 FC N%C3%BCrnberg,Vratislav Greško
1 FC N%C3%BCrnberg,İlkay Gündoğan
1 FC N%C3%BCrnberg,Arnar Gunnlaugsson
1 FC N%C3%BCrnberg,Bjarki Gunnlaugsson
1 FC N%C3%BCrnberg,Sven Günther
1 FC N%C3%BCrnberg,Günter Güttler
1 FC N%C3%BCrnberg,Daniel Gygax
1 FC N%C3%BCrnberg,Robin Hack
1 FC N%C3%BCrnberg,Tomasz Hajto
1 FC N%C3%BCrnberg,Johnny Hansen
1 FC N%C3%BCrnberg,Makoto Hasebe
1 FC N%C3%BCrnberg,Christian Hausmann
1 FC N%C3%BCrnberg,Jens Hegeler
1 FC N%C3%BCrnberg,Herbert Heidenreich
1 FC N%C3%BCrnberg,John Herberger
1 FC N%C3%BCrnberg,Philipp Hercher
1 FC N%C3%BCrnberg,Andreas Hilfiker
1 FC N%C3%BCrnberg,Helmut Hilpert
1 FC N%C3%BCrnberg,Reinhold Hintermaier
1 FC N%C3%BCrnberg,Adam Hloušek
1 FC N%C3%BCrnberg,Bernd Hobsch
1 FC N%C3%BCrnberg,Georg Hochgesang
1 FC N%C3%BCrnberg,Uli Hoeneß
1 FC N%C3%BCrnberg,Roman Hogen
1 FC N%C3%BCrnberg,Josef Hornauer
1 FC N%C3%BCrnberg,Udo Horsmann
1 FC N%C3%BCrnberg,Even Hovland
1 FC N%C3%BCrnberg,Lucas Hufnagel
1 FC N%C3%BCrnberg,Muhammed Ildiz
1 FC N%C3%BCrnberg,Ivo Iličević
1 FC N%C3%BCrnberg,Mikael Ishak
1 FC N%C3%BCrnberg,Pascal Itter
1 FC N%C3%BCrnberg,Lars Jacobsen
1 FC N%C3%BCrnberg,Lukas Jäger
1 FC N%C3%BCrnberg,Stefan Jambo
1 FC N%C3%BCrnberg,David Jarolím
1 FC N%C3%BCrnberg,Petar Jelić
1 FC N%C3%BCrnberg,Nils-Eric Johansson
1 FC N%C3%BCrnberg,Juri Judt
1 FC N%C3%BCrnberg,Júnior
1 FC N%C3%BCrnberg,Živojin Juškić
1 FC N%C3%BCrnberg,Sead Kajtaz
1 FC N%C3%BCrnberg,Hans Kalb
1 FC N%C3%BCrnberg,Wilson Kamavuaka
1 FC N%C3%BCrnberg,Patrick Kammerbauer
1 FC N%C3%BCrnberg,Darius Kampa
1 FC N%C3%BCrnberg,Mu Kanazaki
1 FC N%C3%BCrnberg,Rudolf Kargus
1 FC N%C3%BCrnberg,Yusuf Kasal
1 FC N%C3%BCrnberg,Vlado Kasalo
1 FC N%C3%BCrnberg,Tobias Kempe
1 FC N%C3%BCrnberg,Joshua Kennedy
1 FC N%C3%BCrnberg,Sebastian Kerk
1 FC N%C3%BCrnberg,Marcel Ketelaer
1 FC N%C3%BCrnberg,Carsten Keuler
1 FC N%C3%BCrnberg,Stefan Kießling
1 FC N%C3%BCrnberg,Thorsten Kirschbaum
1 FC N%C3%BCrnberg,Hiroshi Kiyotake
1 FC N%C3%BCrnberg,Patric Klandt
1 FC N%C3%BCrnberg,Philipp Klement
1 FC N%C3%BCrnberg,Daniel Klewer
1 FC N%C3%BCrnberg,Timm Klose
1 FC N%C3%BCrnberg,Peer Kluge
1 FC N%C3%BCrnberg,Peter Knäbel
1 FC N%C3%BCrnberg,Törles Knöll
1 FC N%C3%BCrnberg,Robert Koch
1 FC N%C3%BCrnberg,Georg Köhl
1 FC N%C3%BCrnberg,Jan Koller
1 FC N%C3%BCrnberg,Andreas Köpke
1 FC N%C3%BCrnberg,Emil Köpplinger
1 FC N%C3%BCrnberg,Noah Korczowski
1 FC N%C3%BCrnberg,Tomasz Kos
1 FC N%C3%BCrnberg,Robert Kovač
1 FC N%C3%BCrnberg,Michael Krämer
1 FC N%C3%BCrnberg,Jürgen Kramny
1 FC N%C3%BCrnberg,Johannes Kreidl
1 FC N%C3%BCrnberg,Detlef Krella
1 FC N%C3%BCrnberg,Jan Kristiansen
1 FC N%C3%BCrnberg,Thomas Kristl
1 FC N%C3%BCrnberg,Elroy Kromheer
1 FC N%C3%BCrnberg,Jacek Krzynówek
1 FC N%C3%BCrnberg,Luboš Kubík
1 FC N%C3%BCrnberg,Yuya Kubo
1 FC N%C3%BCrnberg,Samuel Kuffour
1 FC N%C3%BCrnberg,Anton Kugler
1 FC N%C3%BCrnberg,Michael Kügler
1 FC N%C3%BCrnberg,Pavel Kuka
1 FC N%C3%BCrnberg,Mariusz Kukiełka
1 FC N%C3%BCrnberg,Willi Kund
1 FC N%C3%BCrnberg,Hans Küppers
1 FC N%C3%BCrnberg,Markus Kurth
1 FC N%C3%BCrnberg,Marco Kurz
1 FC N%C3%BCrnberg,Pekka Lagerblom
1 FC N%C3%BCrnberg,Dirk Langerbein
1 FC N%C3%BCrnberg,Tommy Svindal Larsen
1 FC N%C3%BCrnberg,Tim Leibold
1 FC N%C3%BCrnberg,Stefan Leitl
1 FC N%C3%BCrnberg,Benjamin Lense
1 FC N%C3%BCrnberg,Horst Leupold
1 FC N%C3%BCrnberg,Sascha Licht
1 FC N%C3%BCrnberg,Dieter Lieberwirth
1 FC N%C3%BCrnberg,Dennis Lippert
1 FC N%C3%BCrnberg,Frank Lippmann
1 FC N%C3%BCrnberg,Felix Lohkemper
1 FC N%C3%BCrnberg,Markus Lösch
1 FC N%C3%BCrnberg,Eduard Löwen
1 FC N%C3%BCrnberg,Andreas Lukse
1 FC N%C3%BCrnberg,Vitalij Lux
1 FC N%C3%BCrnberg,Stefan Maderer
1 FC N%C3%BCrnberg,Róbert Mak
1 FC N%C3%BCrnberg,Martín Mandra
1 FC N%C3%BCrnberg,Marcos António Elias Santos
1 FC N%C3%BCrnberg,Georg Margreitter
1 FC N%C3%BCrnberg,Dominic Maroh
1 FC N%C3%BCrnberg,Ersen Martin
1 FC N%C3%BCrnberg,Federico Palacios Martínez
1 FC N%C3%BCrnberg,Ioannis Masmanidis
1 FC N%C3%BCrnberg,Tim Matavž
1 FC N%C3%BCrnberg,Christian Mathenia
1 FC N%C3%BCrnberg,Matthias Maucksch
1 FC N%C3%BCrnberg,Iuri Medeiros
1 FC N%C3%BCrnberg,Dalio Memić
1 FC N%C3%BCrnberg,Markus Mendler
1 FC N%C3%BCrnberg,Kai Michalke
1 FC N%C3%BCrnberg,Jovan Miladinović
1 FC N%C3%BCrnberg,Marek Mintál
1 FC N%C3%BCrnberg,Virgil Misidjan
1 FC N%C3%BCrnberg,Zvjezdan Misimović
1 FC N%C3%BCrnberg,Aleksandar Mitreski
1 FC N%C3%BCrnberg,Peniel Mlapa
1 FC N%C3%BCrnberg,Jawhar Mnari
1 FC N%C3%BCrnberg,Christian Möckel
1 FC N%C3%BCrnberg,Kevin Möhwald
1 FC N%C3%BCrnberg,Frank Möller
1 FC N%C3%BCrnberg,Joe-Max Moore
1 FC N%C3%BCrnberg,Max Morlock
1 FC N%C3%BCrnberg,Jürgen Mössmer
1 FC N%C3%BCrnberg,Karl-Heinz Mrosko
1 FC N%C3%BCrnberg,Lukas Mühl
1 FC N%C3%BCrnberg,Heini Müller
1 FC N%C3%BCrnberg,Heinz Müller
1 FC N%C3%BCrnberg,Lars Müller
1 FC N%C3%BCrnberg,Ludwig Müller
1 FC N%C3%BCrnberg,Manfred Müller
1 FC N%C3%BCrnberg,Sven Müller
1 FC N%C3%BCrnberg,Andreas Munkert
1 FC N%C3%BCrnberg,Gerhardt Neef
1 FC N%C3%BCrnberg,Jörg Neun
1 FC N%C3%BCrnberg,Kristian Nicht
1 FC N%C3%BCrnberg,Robert Niestroj
1 FC N%C3%BCrnberg,Adrian Nikçi
1 FC N%C3%BCrnberg,Marek Nikl
1 FC N%C3%BCrnberg,Ronny Nikol
1 FC N%C3%BCrnberg,Per Nilsson
1 FC N%C3%BCrnberg,Håvard Nordtveit
1 FC N%C3%BCrnberg,Tam Nsaliwa
1 FC N%C3%BCrnberg,Dieter Nüssing
1 FC N%C3%BCrnberg,Herbert Obele
1 FC N%C3%BCrnberg,Franz Oberacher
1 FC N%C3%BCrnberg,Timo Ochs
1 FC N%C3%BCrnberg,Marc Oechler
1 FC N%C3%BCrnberg,Richard Oehm
1 FC N%C3%BCrnberg,Adebowale Ogungbure
1 FC N%C3%BCrnberg,Rubin Okotie
1 FC N%C3%BCrnberg,Percy Olivares
1 FC N%C3%BCrnberg,Fernando de Ornelas
1 FC N%C3%BCrnberg,Andreas Ottl
1 FC N%C3%BCrnberg,Özgür Özdemir
1 FC N%C3%BCrnberg,Mustafa Özkan
1 FC N%C3%BCrnberg,Sezer Öztürk
1 FC N%C3%BCrnberg,Tobias Pachonik
1 FC N%C3%BCrnberg,Chhunly Pagenburg
1 FC N%C3%BCrnberg,Shawn Parker
1 FC N%C3%BCrnberg,Stephan Paßlack
1 FC N%C3%BCrnberg,Thomas Paulus
1 FC N%C3%BCrnberg,Tomáš Pekhart
1 FC N%C3%BCrnberg,Peter Perchtold
1 FC N%C3%BCrnberg,Matheus Pereira
1 FC N%C3%BCrnberg,Dušan Petković
1 FC N%C3%BCrnberg,Ondřej Petrák
1 FC N%C3%BCrnberg,Joachim Philipkowski
1 FC N%C3%BCrnberg,Ludwig Philipp
1 FC N%C3%BCrnberg,Javier Pinola
1 FC N%C3%BCrnberg,Marvin Plattenhardt
1 FC N%C3%BCrnberg,Ernst Poertgen
1 FC N%C3%BCrnberg,Emanuel Pogatetz
1 FC N%C3%BCrnberg,Jan Polák
1 FC N%C3%BCrnberg,Sebastian Polter
1 FC N%C3%BCrnberg,Andriy Polunin
1 FC N%C3%BCrnberg,Milorad Popović
1 FC N%C3%BCrnberg,Fritz Popp
1 FC N%C3%BCrnberg,Luitpold Popp
1 FC N%C3%BCrnberg,Walter Pradt
1 FC N%C3%BCrnberg,Samuel Şahin-Radlinger
1 FC N%C3%BCrnberg,Rafael da Silva Santos
1 FC N%C3%BCrnberg,Helmut Rahner
1 FC N%C3%BCrnberg,Patrick Rakovsky
1 FC N%C3%BCrnberg,Cristian Ramírez
1 FC N%C3%BCrnberg,Stefan Reinartz
1 FC N%C3%BCrnberg,Alois Reinhardt
1 FC N%C3%BCrnberg,Dominik Reinhardt
1 FC N%C3%BCrnberg,Knut Reinhardt
1 FC N%C3%BCrnberg,Baptist Reinmann
1 FC N%C3%BCrnberg,Stefan Reisch
1 FC N%C3%BCrnberg,Herbert Renner
1 FC N%C3%BCrnberg,Stefan Reuter
1 FC N%C3%BCrnberg,Simon Rhein
1 FC N%C3%BCrnberg,Thomas Richter
1 FC N%C3%BCrnberg,Carl Riegel
1 FC N%C3%BCrnberg,Hans Rigotti
1 FC N%C3%BCrnberg,Vīts Rimkus
1 FC N%C3%BCrnberg,Paulo Rink
1 FC N%C3%BCrnberg,Marcel Risse
1 FC N%C3%BCrnberg,Uwe Rösler
1 FC N%C3%BCrnberg,Timo Rost
1 FC N%C3%BCrnberg,Manfred Rüsing
1 FC N%C3%BCrnberg,Jürgen Rynio
1 FC N%C3%BCrnberg,Abdelhamid Sabiri
1 FC N%C3%BCrnberg,Ivan Saenko
1 FC N%C3%BCrnberg,Edgar Salli
1 FC N%C3%BCrnberg,Souleyman Sané
1 FC N%C3%BCrnberg,Tony Sanneh
1 FC N%C3%BCrnberg,Horst Schade
1 FC N%C3%BCrnberg,Raphael Schäfer
1 FC N%C3%BCrnberg,Alfréd Schaffer
1 FC N%C3%BCrnberg,Julian Schieber
1 FC N%C3%BCrnberg,Norbert Schlegel
1 FC N%C3%BCrnberg,Fabian Schleusener
1 FC N%C3%BCrnberg,Frank Schmidt
1 FC N%C3%BCrnberg,Hans Schmidt
1 FC N%C3%BCrnberg,Ralf Schmidt
